,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
1,2023/06/04,Sun,Taiwan,Slightly Stringy Cheese Patty Double Beef Cheese Burger Meal,204.00,6.64,Promotion,Regular
2,2023/06/04,Sun,Taiwan,Slightly Stringy Cheese Patty Pork Cheese Burger Meal,204.00,6.64,Promotion,Regular
3,2023/06/04,Sun,Taiwan,Chocolate Caramel McFlurry,65.00,2.12,Promotion,Regular
4,2023/06/04,Sun,Taiwan,Colombia Single Origin,75.00,2.44,Promotion,Regular
5,2023/06/04,Sun,Taiwan,Colombia Single Origin Latte,95.00,3.09,Promotion,Regular
6,2023/06/04,Sun,Taiwan,Iced Colombia Single Origin,75.00,2.44,Promotion,Regular
7,2023/06/04,Sun,Taiwan,McCrispy (S) & McNuggets Happy Sharing Meal,549.00,17.88,Promotion,Regular
8,2023/06/04,Sun,Taiwan,Iced Colombia Single Origin Latte,95.00,3.09,Promotion,Regular
9,2023/06/04,Sun,Taiwan,McCrispy(S) Happy Sharing Meal,469.00,15.27,Promotion,Regular
10,2023/06/04,Sun,Taiwan,Breakfast  2 Burger Combo Meal,209.00,6.81,Promotion,Breakfast
11,2023/06/04,Sun,Taiwan,Colombia Single Origin,75.00,2.44,Promotion,Breakfast
12,2023/06/04,Sun,Taiwan,Colombia Single Origin Latte,95.00,3.09,Promotion,Breakfast
13,2023/06/04,Sun,Taiwan,Iced Colombia Single Origin,75.00,2.44,Promotion,Breakfast
14,2023/06/04,Sun,Taiwan,Iced Colombia Single Origin Latte,95.00,3.09,Promotion,Breakfast
15,2023/06/04,Sun,Taiwan,McCrispy &  McNuggets Happy Sharing Meal,549.00,17.88,Happy Sharing Meal,Regular
16,2023/06/04,Sun,Taiwan,McCrispy(O) Happy Sharing Meal,469.00,15.27,Happy Sharing Meal,Regular
17,2023/06/04,Sun,Taiwan,30 Pcs Chicken McNuggets Happy Sharing Meal,359.00,11.69,Happy Sharing Meal,Regular
18,2023/06/04,Sun,Taiwan,Tender Chicken Wing Sharing Meal,319.00,10.39,Happy Sharing Meal,Regular
19,2023/06/04,Sun,Taiwan,Spicy Chicken Wing Sharing Meal,319.00,10.39,Happy Sharing Meal,Regular
20,2023/06/04,Sun,Taiwan,20 Pcs Chicken McNuggets Happy Sharing Meal,269.00,8.76,Happy Sharing Meal,Regular
21,2023/06/04,Sun,Taiwan,2 Burger Combo Meal,319.00,10.39,Happy Sharing Meal,Regular
22,2023/06/04,Sun,Taiwan,BLT Angus Beef Burger,114.00,3.71,Signature,Regular
23,2023/06/04,Sun,Taiwan,BLT Spicy Chicken Burger,114.00,3.71,Signature,Regular
24,2023/06/04,Sun,Taiwan,BLT Grilled Chicken Burger,114.00,3.71,Signature,Regular
