,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
121,2022/03/04,Fri,Taiwan,Corn Soup,40.00,1.42,Beverage,Breakfast
122,2022/03/04,Fri,Taiwan,Hot Tea,38.00,1.35,Beverage,Breakfast
123,2022/03/04,Fri,Taiwan,Coca-Cola,33.00,1.18,Beverage,Breakfast
124,2022/03/04,Fri,Taiwan,Iced Tea,33.00,1.18,Beverage,Breakfast
125,2022/03/04,Fri,Taiwan,Sprite,33.00,1.18,Beverage,Breakfast
126,2022/03/04,Fri,Taiwan,Zero Coke,33.00,1.18,Beverage,Breakfast
127,2022/03/04,Fri,Taiwan,Milk,33.00,1.18,Beverage,Breakfast
128,2022/03/04,Fri,Taiwan,Red Bean Pie x 2,70.00,2.49,Desserts,Breakfast
129,2022/03/04,Fri,Taiwan,Apple Pie x 2,70.00,2.49,Desserts,Breakfast
130,2022/03/04,Fri,Taiwan,Red Bean Pie,35.00,1.25,Desserts,Breakfast
131,2022/03/04,Fri,Taiwan,Apple Pie,35.00,1.25,Desserts,Breakfast
132,2022/03/04,Fri,Taiwan,Hash Brown,32.00,1.14,Desserts,Breakfast
133,2022/03/04,Fri,Taiwan,Fruit Bag ( tomato),39.00,1.39,Desserts,Breakfast
