,Date,Day,Territory,Menu Item,Price (TWD),Price (USD),Category,Menu
0,2022/04/16,Sat,Taiwan,Dessert Card Combo,468.00,16.07,Promotion,Regular
1,2022/04/16,Sat,Taiwan,Grilled Chicken Burger,99.00,3.40,Promotion,Regular
2,2022/04/16,Sat,Taiwan,BBQ Rib,99.00,3.40,Promotion,Regular
3,2022/04/16,Sat,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,11.99,Promotion,Regular
4,2022/04/16,Sat,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,18.51,Promotion,Regular
5,2022/04/16,Sat,Taiwan,Dessert Card Combo,468.00,16.07,Promotion,Breakfast
6,2022/04/16,Sat,Taiwan,Breakfast  2 Burger Combo Meal,199.00,6.83,Promotion,Breakfast
7,2022/04/16,Sat,Taiwan,Happy Sharing Meal - Chicken McCrispy,519.00,17.82,Happy Sharing Box,Regular
8,2022/04/16,Sat,Taiwan,Spicy Chicken Wing HSM,308.00,10.58,Happy Sharing Box,Regular
9,2022/04/16,Sat,Taiwan,Tender Chicken Wing HSM,308.00,10.58,Happy Sharing Box,Regular
10,2022/04/16,Sat,Taiwan,20 Pcs Chicken McNuggets Sharing Meal,259.00,8.89,Happy Sharing Box,Regular
11,2022/04/16,Sat,Taiwan,30 Pcs McNuggets Sharing Meal,349.00,11.99,Happy Sharing Box,Regular
12,2022/04/16,Sat,Taiwan,McCrispy Sharing Meal,459.00,15.76,Happy Sharing Box,Regular
13,2022/04/16,Sat,Taiwan,McCrispy & McNuggets Sharing Meal,539.00,18.51,Happy Sharing Box,Regular
14,2022/04/16,Sat,Taiwan,Tender Chicken Wing HSM,309.00,10.61,Happy Sharing Box,Regular
15,2022/04/16,Sat,Taiwan,Spicy Chicken Wing HSM,309.00,10.61,Happy Sharing Box,Regular
16,2022/04/16,Sat,Taiwan,2 Burger Combo Meal,309.00,10.61,Happy Sharing Box,Regular
17,2022/04/16,Sat,Taiwan,BLT Angus Beef Burger,114.00,3.91,Signature,Regular
18,2022/04/16,Sat,Taiwan,BLT Spicy Chicken Burger,114.00,3.91,Signature,Regular
19,2022/04/16,Sat,Taiwan,BLT Grilled Chicken Burger,114.00,3.91,Signature,Regular
20,2022/04/16,Sat,Taiwan,Mushroom Angus Beef Burger,124.00,4.26,Signature,Regular
21,2022/04/16,Sat,Taiwan,Caesar Salad w/Spicy Chicken Filet,104.00,3.57,Signature,Regular
22,2022/04/16,Sat,Taiwan,Italian Grilled Chicken Salad,104.00,3.57,Signature,Regular
23,2022/04/16,Sat,Taiwan,Tea time,99.00,3.40,Tea time,Regular
24,2022/04/16,Sat,Taiwan,Grilled Chicken Burger,99.00,3.40,Ala Carte & Value Meals,Regular
25,2022/04/16,Sat,Taiwan,BBQ Rib,99.00,3.40,Ala Carte & Value Meals,Regular
26,2022/04/16,Sat,Taiwan,McCrispy-Chicken Leg/Thigh,60.00,2.06,Ala Carte & Value Meals,Regular
27,2022/04/16,Sat,Taiwan,McCrispy-Chicken Wing,49.00,1.68,Ala Carte & Value Meals,Regular
28,2022/04/16,Sat,Taiwan,BLT Spicy Chicken Burger,114.00,3.91,Ala Carte & Value Meals,Regular
29,2022/04/16,Sat,Taiwan,BLT Angus Beef Burger,114.00,3.91,Ala Carte & Value Meals,Regular
30,2022/04/16,Sat,Taiwan,BLT Grilled Chicken Burger,114.00,3.91,Ala Carte & Value Meals,Regular
31,2022/04/16,Sat,Taiwan,Mushroom Angus Beef Burger,124.00,4.26,Ala Carte & Value Meals,Regular
32,2022/04/16,Sat,Taiwan,Caesar Salad w/Spicy Chicken Filet,104.00,3.57,Ala Carte & Value Meals,Regular
33,2022/04/16,Sat,Taiwan,Italian Grilled Chicken Salad,104.00,3.57,Ala Carte & Value Meals,Regular
34,2022/04/16,Sat,Taiwan,Big Mac,80.00,2.75,Ala Carte & Value Meals,Regular
35,2022/04/16,Sat,Taiwan,Double Cheese Burger,70.00,2.40,Ala Carte & Value Meals,Regular
36,2022/04/16,Sat,Taiwan,10pcs Chicken McNuggets,104.00,3.57,Ala Carte & Value Meals,Regular
37,2022/04/16,Sat,Taiwan,6pcs Chicken McNuggets,64.00,2.20,Ala Carte & Value Meals,Regular
38,2022/04/16,Sat,Taiwan,Grilled BBQ Chicken Burger,80.00,2.75,Ala Carte & Value Meals,Regular
39,2022/04/16,Sat,Taiwan,Spicy Chicken Filet,80.00,2.75,Ala Carte & Value Meals,Regular
40,2022/04/16,Sat,Taiwan,McChicken,49.00,1.68,Ala Carte & Value Meals,Regular
41,2022/04/16,Sat,Taiwan,Filet-O-Fish,60.00,2.06,Ala Carte & Value Meals,Regular
42,2022/04/16,Sat,Taiwan,Hot Honey Milk Tea,65.00,2.23,McCafé,Regular
43,2022/04/16,Sat,Taiwan,Iced Honey Milk Tea,65.00,2.23,McCafé,Regular
44,2022/04/16,Sat,Taiwan,Honey Iced Tea,55.00,1.89,McCafé,Regular
45,2022/04/16,Sat,Taiwan,Iced Latte (No sugar),75.00,2.58,McCafé,Regular
46,2022/04/16,Sat,Taiwan,12oz Iced Americano (No sugar),65.00,2.23,McCafé,Regular
47,2022/04/16,Sat,Taiwan,Hot Latte,75.00,2.58,McCafé,Regular
48,2022/04/16,Sat,Taiwan,12oz Americano,65.00,2.23,McCafé,Regular
49,2022/04/16,Sat,Taiwan,Iced Assam Latte,75.00,2.58,McCafé,Regular
50,2022/04/16,Sat,Taiwan,Assam Latte,75.00,2.58,McCafé,Regular
51,2022/04/16,Sat,Taiwan,Sugar-free Iced Black Tea,33.00,1.13,Beverage,Regular
52,2022/04/16,Sat,Taiwan,Sugar-free Iced Green Tea,33.00,1.13,Beverage,Regular
53,2022/04/16,Sat,Taiwan,Coca-Cola,33.00,1.13,Beverage,Regular
54,2022/04/16,Sat,Taiwan,Iced Tea,33.00,1.13,Beverage,Regular
55,2022/04/16,Sat,Taiwan,Sprite,33.00,1.13,Beverage,Regular
56,2022/04/16,Sat,Taiwan,Zero Coke,33.00,1.13,Beverage,Regular
57,2022/04/16,Sat,Taiwan,Taiwan Fresh Orange Juice,55.00,1.89,Beverage,Regular
58,2022/04/16,Sat,Taiwan,Hot Milk Tea,38.00,1.30,Beverage,Regular
59,2022/04/16,Sat,Taiwan,Hot Tea,38.00,1.30,Beverage,Regular
60,2022/04/16,Sat,Taiwan,Iced Milk Tea,38.00,1.30,Beverage,Regular
61,2022/04/16,Sat,Taiwan,Corn Soup,40.00,1.37,Beverage,Regular
62,2022/04/16,Sat,Taiwan,Milk,33.00,1.13,Beverage,Regular
63,2022/04/16,Sat,Taiwan,Apple Pie x 2,70.00,2.40,Desserts,Regular
64,2022/04/16,Sat,Taiwan,McFlurry(OREO) x2,110.00,3.78,Desserts,Regular
65,2022/04/16,Sat,Taiwan,Classic Platter - New 3 Kind,136.00,4.67,Desserts,Regular
66,2022/04/16,Sat,Taiwan,Spicy Chicken Wing(6),130.00,4.46,Desserts,Regular
67,2022/04/16,Sat,Taiwan,Tender Chicken Wing(6),130.00,4.46,Desserts,Regular
68,2022/04/16,Sat,Taiwan,Spicy Chicken Wing,49.00,1.68,Desserts,Regular
69,2022/04/16,Sat,Taiwan,Tender Chicken Wing,49.00,1.68,Desserts,Regular
70,2022/04/16,Sat,Taiwan,Apple Pie,35.00,1.20,Desserts,Regular
71,2022/04/16,Sat,Taiwan,McFlurry (Double OREO),65.00,2.23,Desserts,Regular
72,2022/04/16,Sat,Taiwan,McFlurry(OREO),55.00,1.89,Desserts,Regular
73,2022/04/16,Sat,Taiwan,Sweet Potato,58.00,1.99,Desserts,Regular
74,2022/04/16,Sat,Taiwan,Fries,35.00,1.20,Desserts,Regular
75,2022/04/16,Sat,Taiwan,Fruit Bag ( tomato),39.00,1.34,Desserts,Regular
76,2022/04/16,Sat,Taiwan,Salad(L),45.00,1.55,Desserts,Regular
77,2022/04/16,Sat,Taiwan,Happy Meal - Ham burger,89.00,3.06,Happy Meal,Regular
78,2022/04/16,Sat,Taiwan,Happy Meal - McNugget(4),89.00,3.06,Happy Meal,Regular
79,2022/04/16,Sat,Taiwan,Happy Meal - McFish,89.00,3.06,Happy Meal,Regular
80,2022/04/16,Sat,Taiwan,Grand Breakfast,115.00,3.95,Breakfast Platters,Breakfast
81,2022/04/16,Sat,Taiwan,Big Breakfast,75.00,2.58,Breakfast Platters,Breakfast
82,2022/04/16,Sat,Taiwan,Hotcakes w/Sausage,69.00,2.37,Breakfast Platters,Breakfast
83,2022/04/16,Sat,Taiwan,Hotcakes,55.00,1.89,Breakfast Platters,Breakfast
84,2022/04/16,Sat,Taiwan,Breakfast  2 Burger Combo Meal,199.00,6.83,Breakfast & Value Meals,Breakfast
85,2022/04/16,Sat,Taiwan,Bacon Bagel w/Egg,79.00,2.71,Breakfast & Value Meals,Breakfast
86,2022/04/16,Sat,Taiwan,Cheese Bagel w/Egg,69.00,2.37,Breakfast & Value Meals,Breakfast
87,2022/04/16,Sat,Taiwan,Plain Bagel,55.00,1.89,Breakfast & Value Meals,Breakfast
88,2022/04/16,Sat,Taiwan,Mega Sausage McMuffin,78.00,2.68,Breakfast & Value Meals,Breakfast
89,2022/04/16,Sat,Taiwan,Sausage McMuffin w/Egg,58.00,1.99,Breakfast & Value Meals,Breakfast
90,2022/04/16,Sat,Taiwan,Sausage McMuffin,48.00,1.65,Breakfast & Value Meals,Breakfast
91,2022/04/16,Sat,Taiwan,Egg McMuffin,52.00,1.79,Breakfast & Value Meals,Breakfast
92,2022/04/16,Sat,Taiwan,Chicken McMuffin w/Egg,58.00,1.99,Breakfast & Value Meals,Breakfast
93,2022/04/16,Sat,Taiwan,Chicken McMuffin,48.00,1.65,Breakfast & Value Meals,Breakfast
94,2022/04/16,Sat,Taiwan,McMuffin w/Vegetable,60.00,2.06,Breakfast & Value Meals,Breakfast
95,2022/04/16,Sat,Taiwan,Egg Burger w/Chicken,62.00,2.13,Breakfast & Value Meals,Breakfast
96,2022/04/16,Sat,Taiwan,Egg Burger w/Sausage,62.00,2.13,Breakfast & Value Meals,Breakfast
97,2022/04/16,Sat,Taiwan,Egg Burger w/Ham,50.00,1.72,Breakfast & Value Meals,Breakfast
98,2022/04/16,Sat,Taiwan,Egg Burger w/Cheese,38.00,1.30,Breakfast & Value Meals,Breakfast
99,2022/04/16,Sat,Taiwan,Hot Honey Milk Tea,65.00,2.23,McCafé,Breakfast
100,2022/04/16,Sat,Taiwan,Iced Honey Milk Tea,65.00,2.23,McCafé,Breakfast
101,2022/04/16,Sat,Taiwan,Honey Iced Tea,55.00,1.89,McCafé,Breakfast
102,2022/04/16,Sat,Taiwan,Iced Latte (No sugar),75.00,2.58,McCafé,Breakfast
103,2022/04/16,Sat,Taiwan,12oz Iced Americano (No sugar),65.00,2.23,McCafé,Breakfast
104,2022/04/16,Sat,Taiwan,Hot Latte,75.00,2.58,McCafé,Breakfast
105,2022/04/16,Sat,Taiwan,12oz Americano,65.00,2.23,McCafé,Breakfast
106,2022/04/16,Sat,Taiwan,Iced Assam Latte,75.00,2.58,McCafé,Breakfast
107,2022/04/16,Sat,Taiwan,Assam Latte,75.00,2.58,McCafé,Breakfast
108,2022/04/16,Sat,Taiwan,Sugar-free Iced Black Tea,33.00,1.13,Beverage,Breakfast
109,2022/04/16,Sat,Taiwan,Sugar-free Iced Green Tea,33.00,1.13,Beverage,Breakfast
110,2022/04/16,Sat,Taiwan,Taiwan Fresh Orange Juice,55.00,1.89,Beverage,Breakfast
111,2022/04/16,Sat,Taiwan,Hot Milk Tea,38.00,1.30,Beverage,Breakfast
112,2022/04/16,Sat,Taiwan,Iced Milk Tea,38.00,1.30,Beverage,Breakfast
113,2022/04/16,Sat,Taiwan,Corn Soup,40.00,1.37,Beverage,Breakfast
114,2022/04/16,Sat,Taiwan,Hot Tea,38.00,1.30,Beverage,Breakfast
115,2022/04/16,Sat,Taiwan,Coca-Cola,33.00,1.13,Beverage,Breakfast
116,2022/04/16,Sat,Taiwan,Iced Tea,33.00,1.13,Beverage,Breakfast
117,2022/04/16,Sat,Taiwan,Sprite,33.00,1.13,Beverage,Breakfast
