,Date,Day,Territory,Menu Item,Price (SGD),Price (USD),Category,Menu
1,2025/04/02,Wed,Singapore,Creamy Mushroom Trp Cheeseburger Minecraft Meal,16.70,12.36,A Minecraft Movie Meal,Regular Menu
2,2025/04/02,Wed,Singapore,Creamy Mushroom Dbl Cheeseburger Minecraft Meal,14.00,10.36,A Minecraft Movie Meal,Regular Menu
3,2025/04/02,Wed,Singapore,Triple Cheeseburger Minecraft Meal,15.55,11.51,A Minecraft Movie Meal,Regular Menu
4,2025/04/02,Wed,Singapore,Double Cheeseburger Minecraft Meal,13.40,9.92,A Minecraft Movie Meal,Regular Menu
5,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (9pc) Minecraft Meal,15.30,11.32,A Minecraft Movie Meal,Regular Menu
6,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (6pc) Minecraft Meal,13.80,10.21,A Minecraft Movie Meal,Regular Menu
7,2025/04/02,Wed,Singapore,Chicken McNuggets® (9pc) Minecraft Meal,15.00,11.10,A Minecraft Movie Meal,Regular Menu
8,2025/04/02,Wed,Singapore,Chicken McNuggets® (6pc) Minecraft Meal,13.50,9.99,A Minecraft Movie Meal,Regular Menu
9,2025/04/02,Wed,Singapore,Double McSpicy® with Cheese Minecraft Meal,17.45,12.91,A Minecraft Movie Meal,Regular Menu
10,2025/04/02,Wed,Singapore,Double McSpicy® Minecraft Meal,16.05,11.88,A Minecraft Movie Meal,Regular Menu
11,2025/04/02,Wed,Singapore,McSpicy® with Cheese Minecraft Meal,16.25,12.03,A Minecraft Movie Meal,Regular Menu
12,2025/04/02,Wed,Singapore,McSpicy® Minecraft Meal,14.85,10.99,A Minecraft Movie Meal,Regular Menu
13,2025/04/02,Wed,Singapore,Creamy Mushroom Triple Cheeseburger,10.00,7.40,What's New,Regular Menu
14,2025/04/02,Wed,Singapore,Creamy Mushroom Triple Cheeseburger Meal,11.60,8.58,What's New,Regular Menu
15,2025/04/02,Wed,Singapore,Creamy Mushroom Trp Cheeseburger Upsized Meal,12.80,9.47,What's New,Regular Menu
16,2025/04/02,Wed,Singapore,Creamy Mushroom Double Cheeseburger,7.50,5.55,What's New,Regular Menu
17,2025/04/02,Wed,Singapore,Creamy Mushroom Double Cheeseburger Meal,8.90,6.59,What's New,Regular Menu
18,2025/04/02,Wed,Singapore,Creamy Mushroom Double Cheeseburger Upsized Meal,10.10,7.47,What's New,Regular Menu
19,2025/04/02,Wed,Singapore,Triple Cheeseburger,8.80,6.51,What's New,Regular Menu
20,2025/04/02,Wed,Singapore,Triple Cheeseburger Meal,10.45,7.73,What's New,Regular Menu
21,2025/04/02,Wed,Singapore,Triple Cheeseburger Upsized Meal,11.65,8.62,What's New,Regular Menu
22,2025/04/02,Wed,Singapore,Double Cheeseburger,6.35,4.70,What's New,Regular Menu
23,2025/04/02,Wed,Singapore,Double Cheeseburger Meal,8.30,6.14,What's New,Regular Menu
24,2025/04/02,Wed,Singapore,Double Cheeseburger Upsized Meal,9.50,7.03,What's New,Regular Menu
25,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (9pc),8.25,6.10,What's New,Regular Menu
26,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (9pc) Meal,10.20,7.55,What's New,Regular Menu
27,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (9pc) Upsized Meal,11.40,8.44,What's New,Regular Menu
28,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (6pc),7.10,5.25,What's New,Regular Menu
29,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (6pc) Meal,8.70,6.44,What's New,Regular Menu
30,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (6pc) Upsized Meal,9.90,7.33,What's New,Regular Menu
31,2025/04/02,Wed,Singapore,Curry Chicken McNuggets® (20pc),15.25,11.29,What's New,Regular Menu
32,2025/04/02,Wed,Singapore,Tangerine Freeze,5.90,4.37,What's New,Regular Menu
33,2025/04/02,Wed,Singapore,Cotton Candy Hot Fudge Sundae,3.45,2.55,What's New,Regular Menu
