,Date,Day,Territory,Menu Item,Price (JPY),Price (USD),Category,Menu
1,2024/10/26,Sat,Japan,Morning Double Cheeseburger Delivery Set,1550.00,10.21,Featured,Regular Menu
2,2024/10/26,Sat,Japan,Double Cheese Sausage McMuffin Set,600.00,3.95,Featured,Regular Menu
3,2024/10/26,Sat,Japan,Sausage Egg Muffin Set,520.00,3.42,Featured,Regular Menu
4,2024/10/26,Sat,Japan,Sausage Muffin Set,380.00,2.50,Featured,Regular Menu
5,2024/10/26,Sat,Japan,Chicken McNuggets® Happy Set,520.00,3.42,Featured,Regular Menu
6,2024/10/26,Sat,Japan,PoteNage DAI,600.00,3.95,Featured,Regular Menu
7,2024/10/26,Sat,Japan,PoteNage TOKUDAI,950.00,6.26,Featured,Regular Menu
8,2024/10/26,Sat,Japan,Bai Big Mac Set,950.00,6.26,Featured,Regular Menu
9,2024/10/26,Sat,Japan,Bai Teriyaki McBurger Set,770.00,5.07,Featured,Regular Menu
10,2024/10/26,Sat,Japan,Double Cheeseburger Delivery Set for 3,3100.00,20.41,Featured,Regular Menu
11,2024/10/26,Sat,Japan,Double Cheeseburger Delivery Set for 2,2100.00,13.83,Featured,Regular Menu
12,2024/10/26,Sat,Japan,Double Cheeseburger Delivery Set,1900.00,12.51,Featured,Regular Menu
13,2024/10/26,Sat,Japan,Delivery Set for 3,2500.00,16.46,Featured,Regular Menu
14,2024/10/26,Sat,Japan,Delivery Set for 2,2240.00,14.75,Featured,Regular Menu
15,2024/10/26,Sat,Japan,Deli Set for A1,1500.00,9.88,Featured,Regular Menu
16,2024/10/26,Sat,Japan,Deli Set for B1,1500.00,9.88,Featured,Regular Menu
17,2024/10/26,Sat,Japan,Potenage XL ＋2Choices,1360.00,8.95,Featured,Regular Menu
18,2024/10/26,Sat,Japan,Shaka Shaka Potato® Spice Chicken Flavor Seasoning,40.00,0.26,Featured,Regular Menu
19,2024/10/26,Sat,Japan,Coke® Dry Ginger,270.00,1.78,Featured,Regular Menu
20,2024/10/26,Sat,Japan,Sankaku Choco Pie Black,160.00,1.05,Featured,Regular Menu
21,2024/10/26,Sat,Japan,Sankaku Choco Pie Sweet Potato and Caramel,180.00,1.19,Featured,Regular Menu
22,2024/10/26,Sat,Japan,Kyoho Frappe,490.00,3.23,Featured,Regular Menu
23,2024/10/26,Sat,Japan,Apple Caramel Frappe,490.00,3.23,Featured,Regular Menu
24,2024/10/26,Sat,Japan,Macaron Salted Butter Caramel,190.00,1.25,Featured,Regular Menu
25,2024/10/26,Sat,Japan,Smile,0.00,0.00,Featured,Regular Menu
