,Date,Day,Territory,Menu Item,Price (AUD),Price (USD),Category,Menu
1,2022/07/09,Sat,Australia,Mighty McMuffin,7.70,5.27,Most Popular,Breakfast Menu
2,2022/07/09,Sat,Australia,Brekkie Bundle,29.95,20.50,Most Popular,Breakfast Menu
3,2022/07/09,Sat,Australia,Bacon & Egg McMuffin,5.50,3.76,Most Popular,Breakfast Menu
4,2022/07/09,Sat,Australia,Sausage & Egg McMuffin,5.70,3.90,Most Popular,Breakfast Menu
5,2022/07/09,Sat,Australia,Hotcakes with Butter & Syrup,6.70,4.59,Most Popular,Breakfast Menu
6,2022/07/09,Sat,Australia,Hash Brown,2.95,2.02,Most Popular,Breakfast Menu
7,2022/07/09,Sat,Australia,Mighty McMuffin,7.70,5.27,McMuffins,Breakfast Menu
8,2022/07/09,Sat,Australia,Brekkie Bundle,29.95,20.50,McMuffins,Breakfast Menu
9,2022/07/09,Sat,Australia,Bacon & Egg McMuffin,5.50,3.76,McMuffins,Breakfast Menu
10,2022/07/09,Sat,Australia,Double Bacon & Egg McMuffin,6.40,4.38,McMuffins,Breakfast Menu
11,2022/07/09,Sat,Australia,Sausage & Egg McMuffin,5.70,3.90,McMuffins,Breakfast Menu
12,2022/07/09,Sat,Australia,Double Sausage & Egg McMuffin,6.80,4.65,McMuffins,Breakfast Menu
13,2022/07/09,Sat,Australia,Sausage McMuffin,5.20,3.56,McMuffins,Breakfast Menu
14,2022/07/09,Sat,Australia,Double Sausage McMuffin,6.30,4.31,McMuffins,Breakfast Menu
15,2022/07/09,Sat,Australia,Big Brekkie Burger,8.75,5.99,McMuffins,Breakfast Menu
16,2022/07/09,Sat,Australia,Hotcakes with Butter & Syrup,6.70,4.59,More Brekkie Favourites,Breakfast Menu
17,2022/07/09,Sat,Australia,Hash Brown,2.95,2.02,More Brekkie Favourites,Breakfast Menu
18,2022/07/09,Sat,Australia,Big Brekkie Burger,8.75,5.99,More Brekkie Favourites,Breakfast Menu
19,2022/07/09,Sat,Australia,Small Fries,2.95,2.02,All Day Menu,Breakfast Menu
20,2022/07/09,Sat,Australia,Chicken McNuggets - 3pc,5.40,3.70,All Day Menu,Breakfast Menu
21,2022/07/09,Sat,Australia,Chicken McNuggets - 6pc,7.65,5.24,All Day Menu,Breakfast Menu
22,2022/07/09,Sat,Australia,Chicken McNuggets - 20pc,14.85,10.16,All Day Menu,Breakfast Menu
23,2022/07/09,Sat,Australia,Cheeseburger,4.25,2.91,All Day Menu,Breakfast Menu
24,2022/07/09,Sat,Australia,Double Cheeseburger,6.00,4.11,All Day Menu,Breakfast Menu
25,2022/07/09,Sat,Australia,Big Mac,7.25,4.96,All Day Menu,Breakfast Menu
26,2022/07/09,Sat,Australia,Chicken McNuggets - 40pc,29.45,20.15,All Day Menu,Breakfast Menu
27,2022/07/09,Sat,Australia,Small Australiano Chai Coffee  McCafé,5.35,3.66,McCafe Drinks,Breakfast Menu
28,2022/07/09,Sat,Australia,Small Cappuccino McCafe,4.75,3.25,McCafe Drinks,Breakfast Menu
29,2022/07/09,Sat,Australia,Small Flat White McCafe,4.75,3.25,McCafe Drinks,Breakfast Menu
30,2022/07/09,Sat,Australia,Small Long Black McCafe,4.75,3.25,McCafe Drinks,Breakfast Menu
