,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2023/01/30,Mon,Hong Kong,Prosperity Burger Combo for 1,62.00,7.92,Prosperity,Regular Menu
2,2023/01/30,Mon,Hong Kong,Prosperity Burger Combo for 2,128.00,16.35,Prosperity,Regular Menu
3,2023/01/30,Mon,Hong Kong,Tasty Treasures Combo for 3,228.00,29.12,Prosperity,Regular Menu
4,2023/01/30,Mon,Hong Kong,Crispy Thighs Sharing Bucket Set,259.00,33.07,Prosperity,Regular Menu
5,2023/01/30,Mon,Hong Kong,Salted Marshmallow Flavored Chocolate(L),36.00,4.60,McCafé X LINE FRIENDS,Regular Menu
6,2023/01/30,Mon,Hong Kong,Hazelnut Flavored Mocha(L),38.00,4.85,McCafé X LINE FRIENDS,Regular Menu
7,2023/01/30,Mon,Hong Kong,Burger Lovers Combo for 2 w LINE FRIENDS Drink,131.00,16.73,McCafé X LINE FRIENDS,Regular Menu
8,2023/01/30,Mon,Hong Kong,Burger Lovers Combo for 1 w LINE FRIENDS Drink,64.00,8.17,McCafé X LINE FRIENDS,Regular Menu
9,2023/01/30,Mon,Hong Kong,Crispy Thighs Sharing Bucket Combo for 2,128.00,16.35,Hot Deal,Regular Menu
10,2023/01/30,Mon,Hong Kong,Crispy Thighs Sharing Bucket Combo for 3,183.00,23.37,Hot Deal,Regular Menu
11,2023/01/30,Mon,Hong Kong,Burger Lovers Combo for 3,159.00,20.30,Hot Deal,Regular Menu
12,2023/01/30,Mon,Hong Kong,Burger Lovers Combo for 2,115.00,14.69,Hot Deal,Regular Menu
13,2023/01/30,Mon,Hong Kong,Happy Family Combo,139.00,17.75,Hot Deal,Regular Menu
14,2023/01/30,Mon,Hong Kong,Burger Lover Combo for 1,56.00,7.15,Hot Deal,Regular Menu
15,2023/01/30,Mon,Hong Kong,Crispy Thighs Combo for 1,70.00,8.94,Hot Deal,Regular Menu
16,2023/01/30,Mon,Hong Kong,McNuggets®(9pcs)Combo for 1,63.00,8.05,Hot Deal,Regular Menu
17,2023/01/30,Mon,Hong Kong,McWings (4pcs) Combo for 1,63.00,8.05,Hot Deal,Regular Menu
18,2023/01/30,Mon,Hong Kong,McCafe All-new Meal Combo for 1,64.00,8.17,McCafe Value Combo,Regular Menu
19,2023/01/30,Mon,Hong Kong,McCafe Burger Lovers Combo for 2,131.00,16.73,McCafe Value Combo,Regular Menu
20,2023/01/30,Mon,Hong Kong,McCafe Burger Lovers Cobmo for 3,183.00,23.37,McCafe Value Combo,Regular Menu
