,Date,Day,Territory,Menu Item,Price (HKD),Price (USD),Category,Menu
1,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs (2pcs),43.50,5.58,Garlic Herb Crispy Thighs,Regular Menu
2,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs Combo for 1,72.00,9.24,Garlic Herb Crispy Thighs,Regular Menu
3,2022/12/29,Thu,Hong Kong,We All Are Party Crispy Thighs Combo for 2,142.00,18.22,Garlic Herb Crispy Thighs,Regular Menu
4,2022/12/29,Thu,Hong Kong,Crispy Thighs Sharing Bucket Combo for 3,189.00,24.25,Garlic Herb Crispy Thighs,Regular Menu
5,2022/12/29,Thu,Hong Kong,Original & Honey & Garlic Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Garlic Herb Crispy Thighs,Regular Menu
6,2022/12/29,Thu,Hong Kong,Garlic Herb & Original Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Garlic Herb Crispy Thighs,Regular Menu
7,2022/12/29,Thu,Hong Kong,Garlic Herb & Honey BBQ Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Garlic Herb Crispy Thighs,Regular Menu
8,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs Bucket (6pcs),119.50,15.34,Garlic Herb Crispy Thighs,Regular Menu
9,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs (1pc),23.50,3.02,Garlic Herb Crispy Thighs,Regular Menu
10,2022/12/29,Thu,Hong Kong,Christmas Sharing Combo for 3,228.00,29.26,Party Sharing Set,Regular Menu
11,2022/12/29,Thu,Hong Kong,Crispy Thighs x Signature Combo for 2,168.00,21.56,Party Sharing Set,Regular Menu
12,2022/12/29,Thu,Hong Kong,Crispy Thighs Sharing Bucket Set,258.00,33.11,Party Sharing Set,Regular Menu
13,2022/12/29,Thu,Hong Kong,Christmas Sharing Set,128.00,16.43,Party Sharing Set,Regular Menu
14,2022/12/29,Thu,Hong Kong,Crispy Thighs Combo for 1,81.00,10.39,Party Sharing Set,Regular Menu
15,2022/12/29,Thu,Hong Kong,Original & Honey & Garlic Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Party Sharing Set,Regular Menu
16,2022/12/29,Thu,Hong Kong,Garlic Herb & Original Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Party Sharing Set,Regular Menu
17,2022/12/29,Thu,Hong Kong,Garlic Herb & Honey BBQ Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Party Sharing Set,Regular Menu
18,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs Bucket (6pcs),119.50,15.34,Party Sharing Set,Regular Menu
19,2022/12/29,Thu,Hong Kong,Tasty Jumbo Bucket (16pcs McWings),100.00,12.83,Party Sharing Set,Regular Menu
20,2022/12/29,Thu,Hong Kong,Tasty Sharing Box,44.00,5.65,Party Sharing Set,Regular Menu
21,2022/12/29,Thu,Hong Kong,Burger Lovers Combo for 2 with Oatly Drink,125.00,16.04,McCafe OAT-SOME XMAS,Regular Menu
22,2022/12/29,Thu,Hong Kong,Burger Lovers Combo for 1 with Oatly Drink,61.00,7.83,McCafe OAT-SOME XMAS,Regular Menu
23,2022/12/29,Thu,Hong Kong,Oatly Chocolate(L),36.00,4.62,McCafe OAT-SOME XMAS,Regular Menu
24,2022/12/29,Thu,Hong Kong,Burger Lover Combo for 2 with Mochi Black Sesame Latte,129.00,16.55,McCafe Mochi Black Sesame Latte,Regular Menu
25,2022/12/29,Thu,Hong Kong,Burger Lover Combo for 1 with Mochi Black Sesame Latte,63.00,8.08,McCafe Mochi Black Sesame Latte,Regular Menu
26,2022/12/29,Thu,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.52,McCafe Mochi Black Sesame Latte,Regular Menu
27,2022/12/29,Thu,Hong Kong,Black Sesame Latte(L),38.00,4.88,McCafe Mochi Black Sesame Latte,Regular Menu
28,2022/12/29,Thu,Hong Kong,Crispy Thighs Sharing Bucket Combo for 3,189.00,24.25,Hot Deal,Regular Menu
29,2022/12/29,Thu,Hong Kong,Burger Lovers Combo for 3,153.00,19.63,Hot Deal,Regular Menu
30,2022/12/29,Thu,Hong Kong,Happy Family Combo,135.00,17.32,Hot Deal,Regular Menu
31,2022/12/29,Thu,Hong Kong,Crispy Thighs Sharing Bucket Combo for 2,122.00,15.66,Hot Deal,Regular Menu
32,2022/12/29,Thu,Hong Kong,Burger Lovers Combo for 2,109.00,13.99,Hot Deal,Regular Menu
33,2022/12/29,Thu,Hong Kong,Burger Lover Combo for 1,53.00,6.80,Hot Deal,Regular Menu
34,2022/12/29,Thu,Hong Kong,Crispy Thighs Combo for 1,70.00,8.98,Hot Deal,Regular Menu
35,2022/12/29,Thu,Hong Kong,McNuggets®(9pcs)Combo for 1,60.00,7.70,Hot Deal,Regular Menu
36,2022/12/29,Thu,Hong Kong,McWings (4pcs) Combo for 1,60.00,7.70,Hot Deal,Regular Menu
37,2022/12/29,Thu,Hong Kong,McCafe All-new Meal Combo for 1,61.00,7.83,McCafe Value Combo,Regular Menu
38,2022/12/29,Thu,Hong Kong,McCafe Burger Lovers Combo for 2,125.00,16.04,McCafe Value Combo,Regular Menu
39,2022/12/29,Thu,Hong Kong,McCafe Burger Lovers Cobmo for 3,177.00,22.71,McCafe Value Combo,Regular Menu
40,2022/12/29,Thu,Hong Kong,McCafe Happy Family Combo,151.00,19.38,McCafe Value Combo,Regular Menu
41,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs (1pc),23.50,3.02,Regular A-la-carte,Regular Menu
42,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs (2pcs),43.50,5.58,Regular A-la-carte,Regular Menu
43,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs Combo for 1,72.00,9.24,Regular A-la-carte,Regular Menu
44,2022/12/29,Thu,Hong Kong,Original & Honey & Garlic Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Regular A-la-carte,Regular Menu
45,2022/12/29,Thu,Hong Kong,Garlic Herb & Original Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Regular A-la-carte,Regular Menu
46,2022/12/29,Thu,Hong Kong,Garlic Herb & Honey BBQ Crispy Thighs Sharing Bucket (6 pcs),119.50,15.34,Regular A-la-carte,Regular Menu
47,2022/12/29,Thu,Hong Kong,Original & Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.34,Regular A-la-carte,Regular Menu
48,2022/12/29,Thu,Hong Kong,Garlic Herb Crispy Thighs Bucket (6pcs),119.50,15.34,Regular A-la-carte,Regular Menu
49,2022/12/29,Thu,Hong Kong,Honey BBQ Crispy Thighs Sharing Bucket (6pcs),119.50,15.34,Regular A-la-carte,Regular Menu
50,2022/12/29,Thu,Hong Kong,McWings®(4pcs),27.00,3.46,Regular A-la-carte,Regular Menu
51,2022/12/29,Thu,Hong Kong,McWings®(6pcs),38.00,4.88,Regular A-la-carte,Regular Menu
52,2022/12/29,Thu,Hong Kong,Tasty Jumbo Bucket (16pcs McWING),100.00,12.83,Regular A-la-carte,Regular Menu
53,2022/12/29,Thu,Hong Kong,Crispy Thighs (Original)Sharing Bucket (6pcs),113.50,14.57,Regular A-la-carte,Regular Menu
54,2022/12/29,Thu,Hong Kong,Chicken McNuggets® (6pcs),24.00,3.08,Regular A-la-carte,Regular Menu
55,2022/12/29,Thu,Hong Kong,McNuggets®(18pcs),52.00,6.67,Regular A-la-carte,Regular Menu
56,2022/12/29,Thu,Hong Kong,Tasty Sharing Box,44.00,5.65,Regular A-la-carte,Regular Menu
57,2022/12/29,Thu,Hong Kong,Crispy Thighs(2pcs),41.50,5.33,Regular A-la-carte,Regular Menu
58,2022/12/29,Thu,Hong Kong,Big Mac®,25.50,3.27,Regular A-la-carte,Regular Menu
59,2022/12/29,Thu,Hong Kong,Angus Original,34.00,4.36,Regular A-la-carte,Regular Menu
60,2022/12/29,Thu,Hong Kong,Cheesy Champignon Angus Burger,39.00,5.00,Regular A-la-carte,Regular Menu
61,2022/12/29,Thu,Hong Kong,Double Angus Original,46.00,5.90,Regular A-la-carte,Regular Menu
62,2022/12/29,Thu,Hong Kong,Double Cheeseburger™,24.00,3.08,Regular A-la-carte,Regular Menu
63,2022/12/29,Thu,Hong Kong,McSpicy®Chicken Filet,27.00,3.46,Regular A-la-carte,Regular Menu
64,2022/12/29,Thu,Hong Kong,GCB®,26.50,3.40,Regular A-la-carte,Regular Menu
65,2022/12/29,Thu,Hong Kong,Filet-O-Fish™,23.00,2.95,Regular A-la-carte,Regular Menu
66,2022/12/29,Thu,Hong Kong,Sausage McMuffin® with Egg,22.50,2.89,Regular A-la-carte,Regular Menu
67,2022/12/29,Thu,Hong Kong,Happy Meal® Chicken McNuggets® (4 pcs),35.00,4.49,Happy Meal,Regular Menu
68,2022/12/29,Thu,Hong Kong,Happy Meal® Filet-O-Fish™,37.00,4.75,Happy Meal,Regular Menu
69,2022/12/29,Thu,Hong Kong,Other Happy Meal Set,28.50,3.66,Happy Meal,Regular Menu
70,2022/12/29,Thu,Hong Kong,Iced Mochi Black Sesame Latte,43.00,5.52,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
71,2022/12/29,Thu,Hong Kong,Oatly Chocolate(L),36.00,4.62,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
72,2022/12/29,Thu,Hong Kong,Black Sesame Latte(L),38.00,4.88,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
73,2022/12/29,Thu,Hong Kong,Iced Salted Caramel Oatly Latte,43.00,5.52,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
74,2022/12/29,Thu,Hong Kong,Salted Caramel Oatly Latte(L),38.00,4.88,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
75,2022/12/29,Thu,Hong Kong,Iced Latte,40.00,5.13,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
76,2022/12/29,Thu,Hong Kong,Iced Cappuccino,40.00,5.13,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
77,2022/12/29,Thu,Hong Kong,Iced Americano,40.00,5.13,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
78,2022/12/29,Thu,Hong Kong,Iced Crunchy Ovaltine®,40.00,5.13,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
79,2022/12/29,Thu,Hong Kong,Iced Okinawa Brown Sugar x Bubble Milk Tea,41.00,5.26,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
80,2022/12/29,Thu,Hong Kong,Iced Ovaltine Bubble Latte,43.00,5.52,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
81,2022/12/29,Thu,Hong Kong,Iced Uji Matcha Bubble Latte,43.00,5.52,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
82,2022/12/29,Thu,Hong Kong,Cappuccino(L),35.00,4.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
83,2022/12/29,Thu,Hong Kong,Latte(L),35.00,4.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
84,2022/12/29,Thu,Hong Kong,Americano(L),35.00,4.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
85,2022/12/29,Thu,Hong Kong,Crunchy Ovaltine(L),35.00,4.49,McCafe Drink for McDelivery (Coffee brewed with 3.7 Fresh Milk),Regular Menu
86,2022/12/29,Thu,Hong Kong,Sea Salt Lemon Soda,22.00,2.82,Beverages.,Regular Menu
87,2022/12/29,Thu,Hong Kong,Coca-Cola® (L),17.00,2.18,Beverages.,Regular Menu
88,2022/12/29,Thu,Hong Kong,Sprite® Lemon- Lime Flavoured Soda (L),17.00,2.18,Beverages.,Regular Menu
89,2022/12/29,Thu,Hong Kong,Fanta® Orange Flavoured Soda (L),17.00,2.18,Beverages.,Regular Menu
90,2022/12/29,Thu,Hong Kong,Coca-Cola® No Sugar (L),17.00,2.18,Beverages.,Regular Menu
91,2022/12/29,Thu,Hong Kong,Minute Maid® Orange Juice (L),16.50,2.12,Beverages.,Regular Menu
92,2022/12/29,Thu,Hong Kong,Kochakaden® Fruitea Orange Tea (M),18.50,2.37,Beverages.,Regular Menu
93,2022/12/29,Thu,Hong Kong,Kochakaden® Fruitea Orange Tea (L),20.00,2.57,Beverages.,Regular Menu
94,2022/12/29,Thu,Hong Kong,Kochakaden® Fruitea Pear Tea (L),20.00,2.57,Beverages.,Regular Menu
95,2022/12/29,Thu,Hong Kong,Iced Prem Roast Coffee (L),23.00,2.95,Beverages.,Regular Menu
96,2022/12/29,Thu,Hong Kong,Hot Chocolate,17.00,2.18,Beverages.,Regular Menu
97,2022/12/29,Thu,Hong Kong,Hi-Calcium Low Fat Milk Drink,17.50,2.25,Beverages.,Regular Menu
98,2022/12/29,Thu,Hong Kong,Hot Local Milk Tea  (L),18.50,2.37,Beverages.,Regular Menu
99,2022/12/29,Thu,Hong Kong,Ground Coffee (L),20.50,2.63,Beverages.,Regular Menu
100,2022/12/29,Thu,Hong Kong,Iced Local Milk Tea (L),22.00,2.82,Beverages.,Regular Menu
101,2022/12/29,Thu,Hong Kong,Iced Fresh Lemon Tea (L),22.00,2.82,Beverages.,Regular Menu
102,2022/12/29,Thu,Hong Kong,Hot Fresh Lemon Tea (L),18.50,2.37,Beverages.,Regular Menu
103,2022/12/29,Thu,Hong Kong,Chocolate & Custard Pie,14.00,1.80,Desserts,Regular Menu
104,2022/12/29,Thu,Hong Kong,Apple Pie,13.00,1.67,Desserts,Regular Menu
105,2022/12/29,Thu,Hong Kong,Hi-Calcium Low Fat Blueberry Yoghurt,15.00,1.92,Desserts,Regular Menu
106,2022/12/29,Thu,Hong Kong,Creamy Mashed Potato,17.00,2.18,Extra/ Additional Sauce,Regular Menu
107,2022/12/29,Thu,Hong Kong,Japanese Curry Flavored Seasoning,3.00,0.38,Extra/ Additional Sauce,Regular Menu
108,2022/12/29,Thu,Hong Kong,Apple Pie Flavored Seasoning,3.00,0.38,Extra/ Additional Sauce,Regular Menu
109,2022/12/29,Thu,Hong Kong,Seaweed Seasoning,3.00,0.38,Extra/ Additional Sauce,Regular Menu
110,2022/12/29,Thu,Hong Kong,Honey BBQ Seasoning,3.00,0.38,Extra/ Additional Sauce,Regular Menu
111,2022/12/29,Thu,Hong Kong,Fries (M),17.00,2.18,Extra/ Additional Sauce,Regular Menu
