,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2025/06/01,Sun,South Korea,Bacon Tomato Deluxe Guacamole Double,11200.00,8.10,Specials,Regular Menu
2,2025/06/01,Sun,South Korea,Bacon Tomato Deluxe Guacamole Single,10100.00,7.30,Specials,Regular Menu
3,2025/06/01,Sun,South Korea,Double 1955® Burger,12800.00,9.26,Specials,Regular Menu
4,2025/06/01,Sun,South Korea,Double McSpicy® Shanghai Burger,12200.00,8.82,Specials,Regular Menu
5,2025/06/01,Sun,South Korea,Double Quarter Pounder® with Cheese,10600.00,7.67,Specials,Regular Menu
6,2025/06/01,Sun,South Korea,Tomato Cheese Beef Burger,6900.00,4.99,Specials,Regular Menu
7,2025/06/01,Sun,South Korea,Quarter Pounder® with Cheese,8900.00,6.44,Specials,Regular Menu
8,2025/06/01,Sun,South Korea,McCrispy™ Deluxe Burger,9400.00,6.80,Specials,Regular Menu
9,2025/06/01,Sun,South Korea,McCrispy™ Classic Burger,8700.00,6.29,Specials,Regular Menu
10,2025/06/01,Sun,South Korea,Big Mac®,8700.00,6.29,Specials,Regular Menu
11,2025/06/01,Sun,South Korea,McWings™ 2pc,4400.00,3.18,Specials,Regular Menu
12,2025/06/01,Sun,South Korea,1955 Snack Wrap,3800.00,2.75,Specials,Regular Menu
13,2025/06/01,Sun,South Korea,Mango Peach Iced Tea,4100.00,2.97,Specials,Regular Menu
14,2025/06/01,Sun,South Korea,Peach Iced Tea,3600.00,2.60,Specials,Regular Menu
15,2025/06/01,Sun,South Korea,Vanilla Latte,4500.00,3.25,Specials,Regular Menu
16,2025/06/01,Sun,South Korea,Bacon Egg McGriddles,7000.00,5.06,Specials,Breakfast Menu
17,2025/06/01,Sun,South Korea,Sausage Egg McGriddles,7300.00,5.28,Specials,Breakfast Menu
18,2025/06/01,Sun,South Korea,Sausage & Egg McMuffin,6200.00,4.48,Specials,Breakfast Menu
19,2025/06/01,Sun,South Korea,Bacon & Egg McMuffin,5900.00,4.27,Specials,Breakfast Menu
20,2025/06/01,Sun,South Korea,BLT Egg Muffin,7000.00,5.06,Specials,Breakfast Menu
21,2025/06/01,Sun,South Korea,Mango Peach Iced Tea,4100.00,2.97,Specials,Breakfast Menu
22,2025/06/01,Sun,South Korea,Peach Iced Tea,3600.00,2.60,Specials,Breakfast Menu
23,2025/06/01,Sun,South Korea,Iced Americano (No Syrup),3300.00,2.39,Specials,Breakfast Menu
24,2025/06/01,Sun,South Korea,Vanilla Latte,4500.00,3.25,Specials,Breakfast Menu
25,2025/06/01,Sun,South Korea,Bacon Tomato Deluxe Guacamole Double,9100.00,6.58,Ala Carte & Value Meals,Regular Menu
26,2025/06/01,Sun,South Korea,Bacon Tomato Deluxe Guacamole Single,8000.00,5.79,Ala Carte & Value Meals,Regular Menu
27,2025/06/01,Sun,South Korea,Double 1955® Burger,10300.00,7.45,Ala Carte & Value Meals,Regular Menu
28,2025/06/01,Sun,South Korea,Double McSpicy® Shanghai Burger,9700.00,7.02,Ala Carte & Value Meals,Regular Menu
29,2025/06/01,Sun,South Korea,Double Quarter Pounder® with Cheese,8200.00,5.93,Ala Carte & Value Meals,Regular Menu
30,2025/06/01,Sun,South Korea,Quarter Pounder® with Cheese,6300.00,4.56,Ala Carte & Value Meals,Regular Menu
31,2025/06/01,Sun,South Korea,McSpicy® Shanghai Burger,6300.00,4.56,Ala Carte & Value Meals,Regular Menu
32,2025/06/01,Sun,South Korea,Tomato Cheese Beef Burger,4600.00,3.33,Ala Carte & Value Meals,Regular Menu
33,2025/06/01,Sun,South Korea,McCrispy™ Deluxe Burger,7600.00,5.50,Ala Carte & Value Meals,Regular Menu
34,2025/06/01,Sun,South Korea,McCrispy™ Classic Burger,6700.00,4.85,Ala Carte & Value Meals,Regular Menu
