,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
1,2022/09/30,Fri,South Korea,McCrispy™ Deluxe Burger,9200.00,6.44,Specials,Regular Menu
2,2022/09/30,Fri,South Korea,McCrispy™ Classic Burger,8400.00,5.88,Specials,Regular Menu
3,2022/09/30,Fri,South Korea,Triple Cheeseburger,8500.00,5.95,Specials,Regular Menu
4,2022/09/30,Fri,South Korea,Churros,2500.00,1.75,Specials,Regular Menu
5,2022/09/30,Fri,South Korea,McWings™ 2pc,3700.00,2.59,Specials,Regular Menu
6,2022/09/30,Fri,South Korea,Chicken Tomato Snack Wrap,3000.00,2.10,Specials,Regular Menu
7,2022/09/30,Fri,South Korea,Jeju Hallabong Chiller,3700.00,2.59,Specials,Regular Menu
8,2022/09/30,Fri,South Korea,Vanilla Latte,4200.00,2.94,Specials,Regular Menu
9,2022/09/30,Fri,South Korea,Bacon Egg McGriddles,6300.00,4.41,Specials,Breakfast Menu
10,2022/09/30,Fri,South Korea,Sausage Egg McGriddles,6500.00,4.55,Specials,Breakfast Menu
11,2022/09/30,Fri,South Korea,BLT Egg Muffin,6000.00,4.20,Specials,Breakfast Menu
12,2022/09/30,Fri,South Korea,Bacon & Egg McMuffin,5600.00,3.92,Specials,Breakfast Menu
13,2022/09/30,Fri,South Korea,Sausage & Egg McMuffin,5700.00,3.99,Specials,Breakfast Menu
14,2022/09/30,Fri,South Korea,Churros,2500.00,1.75,Specials,Breakfast Menu
15,2022/09/30,Fri,South Korea,Chicken Tomato Snack Wrap,3000.00,2.10,Specials,Breakfast Menu
16,2022/09/30,Fri,South Korea,Jeju Hallabong Chiller,3700.00,2.59,Specials,Breakfast Menu
17,2022/09/30,Fri,South Korea,Vanilla Latte,4200.00,2.94,Specials,Breakfast Menu
18,2022/09/30,Fri,South Korea,McCrispy™ Deluxe Burger,7500.00,5.25,Ala Carte & Value Meals,Regular Menu
19,2022/09/30,Fri,South Korea,McCrispy™ Classic Burger,6700.00,4.69,Ala Carte & Value Meals,Regular Menu
20,2022/09/30,Fri,South Korea,Triple Cheeseburger,6600.00,4.62,Ala Carte & Value Meals,Regular Menu
21,2022/09/30,Fri,South Korea,Double Bulgogi Burger,5300.00,3.71,Ala Carte & Value Meals,Regular Menu
22,2022/09/30,Fri,South Korea,Big Mac®,5700.00,3.99,Ala Carte & Value Meals,Regular Menu
23,2022/09/30,Fri,South Korea,McSpicy® Shanghai Burger,5700.00,3.99,Ala Carte & Value Meals,Regular Menu
24,2022/09/30,Fri,South Korea,1955® Burger,6800.00,4.76,Ala Carte & Value Meals,Regular Menu
25,2022/09/30,Fri,South Korea,McChicken® Mozzarella,5800.00,4.06,Ala Carte & Value Meals,Regular Menu
26,2022/09/30,Fri,South Korea,Double Filet-O-Fish,6000.00,4.20,Ala Carte & Value Meals,Regular Menu
27,2022/09/30,Fri,South Korea,Filet-O-Fish,4500.00,3.15,Ala Carte & Value Meals,Regular Menu
28,2022/09/30,Fri,South Korea,McChicken®,4300.00,3.01,Ala Carte & Value Meals,Regular Menu
29,2022/09/30,Fri,South Korea,Egg Bulgogi Burger,4300.00,3.01,Ala Carte & Value Meals,Regular Menu
30,2022/09/30,Fri,South Korea,Bulgogi Burger,3300.00,2.31,Ala Carte & Value Meals,Regular Menu
31,2022/09/30,Fri,South Korea,Supreme Shrimp Burger,5500.00,3.85,Ala Carte & Value Meals,Regular Menu
32,2022/09/30,Fri,South Korea,Shrimp Beef Burger,6600.00,4.62,Ala Carte & Value Meals,Regular Menu
33,2022/09/30,Fri,South Korea,Bacon Tomato Deluxe,6600.00,4.62,Ala Carte & Value Meals,Regular Menu
34,2022/09/30,Fri,South Korea,Double Quarter Pounder® with Cheese,8200.00,5.74,Ala Carte & Value Meals,Regular Menu
35,2022/09/30,Fri,South Korea,Quarter Pounder® with Cheese,6300.00,4.41,Ala Carte & Value Meals,Regular Menu
36,2022/09/30,Fri,South Korea,Cheeseburger,3300.00,2.31,Ala Carte & Value Meals,Regular Menu
37,2022/09/30,Fri,South Korea,Double Cheeseburger,5300.00,3.71,Ala Carte & Value Meals,Regular Menu
