,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
0,2022/05/05,Thu,South Korea,LEGOLAND® Together pack,17000.00,13.46,Specials,Regular Menu
1,2022/05/05,Thu,South Korea,Hershey's Pretzel McFlurry,3600.00,2.85,Specials,Regular Menu
2,2022/05/05,Thu,South Korea,Arrabbiata Ricotta Chicken Burger,9000.00,7.13,Specials,Regular Menu
3,2022/05/05,Thu,South Korea,McDelivery Big mac® Plus Pack,13000.00,10.29,Specials,Regular Menu
4,2022/05/05,Thu,South Korea,McDelivery Shanghai Burger Plus Pack,13000.00,10.29,Specials,Regular Menu
5,2022/05/05,Thu,South Korea,Triple Cheeseburger,8100.00,6.41,Specials,Regular Menu
6,2022/05/05,Thu,South Korea,Together Pack (Menu swap is available at extra cost),17000.00,13.46,Specials,Regular Menu
7,2022/05/05,Thu,South Korea,Spicy McNuggets 6pc,3800.00,3.01,Specials,Regular Menu
8,2022/05/05,Thu,South Korea,Sausage Snack Wrap,3200.00,2.53,Specials,Regular Menu
9,2022/05/05,Thu,South Korea,Vanilla Latte,4000.00,3.17,Specials,Regular Menu
10,2022/05/05,Thu,South Korea,Strawberry Chiller,3600.00,2.85,Specials,Regular Menu
11,2022/05/05,Thu,South Korea,Plum Chiller,3600.00,2.85,Specials,Regular Menu
12,2022/05/05,Thu,South Korea,Bacon Tomato Egg Soft Bun,5800.00,4.59,Specials,Breakfast Menu
13,2022/05/05,Thu,South Korea,Sausage Tomato Egg Soft Bun,6000.00,4.75,Specials,Breakfast Menu
14,2022/05/05,Thu,South Korea,Hershey's Pretzel McFlurry,3600.00,2.85,Specials,Breakfast Menu
15,2022/05/05,Thu,South Korea,BLT Egg Muffin,5700.00,4.51,Specials,Breakfast Menu
16,2022/05/05,Thu,South Korea,Apple Pie (promotion),1400.00,1.11,Specials,Breakfast Menu
17,2022/05/05,Thu,South Korea,Sausage Snack Wrap,3200.00,2.53,Specials,Breakfast Menu
18,2022/05/05,Thu,South Korea,Bacon & Egg McMuffin,5200.00,4.12,Specials,Breakfast Menu
19,2022/05/05,Thu,South Korea,Sausage & Egg McMuffin,5400.00,4.28,Specials,Breakfast Menu
20,2022/05/05,Thu,South Korea,Vanilla Latte,4000.00,3.17,Specials,Breakfast Menu
21,2022/05/05,Thu,South Korea,LEGOLAND® Together pack,17000.00,13.46,Ala Carte & Value Meals,Regular Menu
22,2022/05/05,Thu,South Korea,Arrabbiata Ricotta Chicken Burger,7300.00,5.78,Ala Carte & Value Meals,Regular Menu
23,2022/05/05,Thu,South Korea,McDelivery Big mac® Plus Pack,13000.00,10.29,Ala Carte & Value Meals,Regular Menu
24,2022/05/05,Thu,South Korea,McDelivery Shanghai Burger Plus Pack,13000.00,10.29,Ala Carte & Value Meals,Regular Menu
25,2022/05/05,Thu,South Korea,Together Pack (Menu swap is available at extra cost),17000.00,13.46,Ala Carte & Value Meals,Regular Menu
26,2022/05/05,Thu,South Korea,Triple Cheeseburger,6400.00,5.07,Ala Carte & Value Meals,Regular Menu
27,2022/05/05,Thu,South Korea,Double Bulgogi Burger,5200.00,4.12,Ala Carte & Value Meals,Regular Menu
28,2022/05/05,Thu,South Korea,Big Mac®,5400.00,4.28,Ala Carte & Value Meals,Regular Menu
29,2022/05/05,Thu,South Korea,McSpicy® Shanghai Burger,5600.00,4.43,Ala Carte & Value Meals,Regular Menu
30,2022/05/05,Thu,South Korea,1955® Burger,6500.00,5.15,Ala Carte & Value Meals,Regular Menu
31,2022/05/05,Thu,South Korea,McChicken® Mozzarella,5600.00,4.43,Ala Carte & Value Meals,Regular Menu
32,2022/05/05,Thu,South Korea,Double Filet-O-Fish,5800.00,4.59,Ala Carte & Value Meals,Regular Menu
33,2022/05/05,Thu,South Korea,Filet-O-Fish,4300.00,3.40,Ala Carte & Value Meals,Regular Menu
34,2022/05/05,Thu,South Korea,McChicken®,4100.00,3.25,Ala Carte & Value Meals,Regular Menu
35,2022/05/05,Thu,South Korea,Egg Bulgogi Burger,4000.00,3.17,Ala Carte & Value Meals,Regular Menu
36,2022/05/05,Thu,South Korea,Bulgogi Burger,3100.00,2.45,Ala Carte & Value Meals,Regular Menu
37,2022/05/05,Thu,South Korea,Supreme Shrimp Burger,5300.00,4.20,Ala Carte & Value Meals,Regular Menu
38,2022/05/05,Thu,South Korea,Shrimp Beef Burger,6300.00,4.99,Ala Carte & Value Meals,Regular Menu
39,2022/05/05,Thu,South Korea,Bacon Tomato Deluxe,6300.00,4.99,Ala Carte & Value Meals,Regular Menu
40,2022/05/05,Thu,South Korea,Double Quarter Pounder® with Cheese,7800.00,6.18,Ala Carte & Value Meals,Regular Menu
41,2022/05/05,Thu,South Korea,Quarter Pounder® with Cheese,6000.00,4.75,Ala Carte & Value Meals,Regular Menu
42,2022/05/05,Thu,South Korea,Cheeseburger,3100.00,2.45,Ala Carte & Value Meals,Regular Menu
43,2022/05/05,Thu,South Korea,Double Cheeseburger,5200.00,4.12,Ala Carte & Value Meals,Regular Menu
44,2022/05/05,Thu,South Korea,Hamburger,2800.00,2.22,Ala Carte & Value Meals,Regular Menu
45,2022/05/05,Thu,South Korea,Spicy McNuggets 10pc,5300.00,4.20,Snacks & Sides,Regular Menu
46,2022/05/05,Thu,South Korea,Spicy McNuggets 6pc,3800.00,3.01,Snacks & Sides,Regular Menu
47,2022/05/05,Thu,South Korea,Spicy McNuggets 4pc,2800.00,2.22,Snacks & Sides,Regular Menu
48,2022/05/05,Thu,South Korea,Sausage Snack Wrap,3200.00,2.53,Snacks & Sides,Regular Menu
49,2022/05/05,Thu,South Korea,Shanghai chicken snack wrap,3000.00,2.38,Snacks & Sides,Regular Menu
50,2022/05/05,Thu,South Korea,Apple Pie (promotion),1400.00,1.11,Snacks & Sides,Regular Menu
51,2022/05/05,Thu,South Korea,Golden Mozzarella Cheese Sticks 4pcs,4800.00,3.80,Snacks & Sides,Regular Menu
52,2022/05/05,Thu,South Korea,Golden Mozzarella Cheese Sticks 2pcs,3100.00,2.45,Snacks & Sides,Regular Menu
53,2022/05/05,Thu,South Korea,McNuggets® 10pc,5300.00,4.20,Snacks & Sides,Regular Menu
54,2022/05/05,Thu,South Korea,McNuggets® 6pc,3800.00,3.01,Snacks & Sides,Regular Menu
55,2022/05/05,Thu,South Korea,McNuggets® 4pc,2800.00,2.22,Snacks & Sides,Regular Menu
56,2022/05/05,Thu,South Korea,McSpicy® Chicken Tenders 4pc,5700.00,4.51,Snacks & Sides,Regular Menu
57,2022/05/05,Thu,South Korea,McSpicy® Chicken Tenders 2pc,3300.00,2.61,Snacks & Sides,Regular Menu
58,2022/05/05,Thu,South Korea,French Fries,2500.00,1.98,Snacks & Sides,Regular Menu
59,2022/05/05,Thu,South Korea,String Cheese,2400.00,1.90,Snacks & Sides,Regular Menu
60,2022/05/05,Thu,South Korea,Add Oragne Chili Sauce,300.00,0.24,Snacks & Sides,Regular Menu
61,2022/05/05,Thu,South Korea,Add Sweet Sour Sauce,300.00,0.24,Snacks & Sides,Regular Menu
62,2022/05/05,Thu,South Korea,Add Sweet Chili Sauce,300.00,0.24,Snacks & Sides,Regular Menu
63,2022/05/05,Thu,South Korea,Add Cajun Sauce,300.00,0.24,Snacks & Sides,Regular Menu
64,2022/05/05,Thu,South Korea,Strawberry Chiller,3600.00,2.85,Beverages,Regular Menu
65,2022/05/05,Thu,South Korea,Plum Chiller,3600.00,2.85,Beverages,Regular Menu
66,2022/05/05,Thu,South Korea,Vanilla Latte,4000.00,3.17,Beverages,Regular Menu
