,Date,Day,Territory,Menu Item,Price (KRW),Price (USD),Category,Menu
115,2023/02/16,Thu,South Korea,Decaffeine Espresso,2600.00,2.02,Beverages,Breakfast Menu
116,2023/02/16,Thu,South Korea,Decaffeine Iced Vanilla Latte,4400.00,3.42,Beverages,Breakfast Menu
117,2023/02/16,Thu,South Korea,Decaffeine Iced Café Latte (No Syrup),3900.00,3.03,Beverages,Breakfast Menu
118,2023/02/16,Thu,South Korea,Decaffeine Iced Americano (No Syrup),3400.00,2.64,Beverages,Breakfast Menu
119,2023/02/16,Thu,South Korea,Vanilla Shake,3500.00,2.72,Beverages,Breakfast Menu
120,2023/02/16,Thu,South Korea,Strawberry Shake,3500.00,2.72,Beverages,Breakfast Menu
121,2023/02/16,Thu,South Korea,Chocolate Shake,3500.00,2.72,Beverages,Breakfast Menu
122,2023/02/16,Thu,South Korea,Milk,2200.00,1.71,Beverages,Breakfast Menu
123,2023/02/16,Thu,South Korea,Mineral Water,1900.00,1.48,Beverages,Breakfast Menu
124,2023/02/16,Thu,South Korea,Strawberry Chiller,3700.00,2.88,Desserts,Breakfast Menu
125,2023/02/16,Thu,South Korea,Jeju Hallabong Chiller,3700.00,2.88,Desserts,Breakfast Menu
126,2023/02/16,Thu,South Korea,Oreo McFlurry,3400.00,2.64,Desserts,Breakfast Menu
127,2023/02/16,Thu,South Korea,Very Strawberry McFlurry,3400.00,2.64,Desserts,Breakfast Menu
128,2023/02/16,Thu,South Korea,Chocolate Sundae,2500.00,1.94,Desserts,Breakfast Menu
129,2023/02/16,Thu,South Korea,Strawberry Sundae,2500.00,1.94,Desserts,Breakfast Menu
130,2023/02/16,Thu,South Korea,Vanilla Shake,3500.00,2.72,Desserts,Breakfast Menu
131,2023/02/16,Thu,South Korea,Strawberry Shake,3500.00,2.72,Desserts,Breakfast Menu
132,2023/02/16,Thu,South Korea,Chocolate Shake,3500.00,2.72,Desserts,Breakfast Menu
133,2023/02/16,Thu,South Korea,Egg McMuffin,5500.00,4.28,Happy Meal®,Breakfast Menu
134,2023/02/16,Thu,South Korea,Bacon & Egg McMuffin,5500.00,4.28,Happy Meal®,Breakfast Menu
135,2023/02/16,Thu,South Korea,Sausage & Egg McMuffin,5500.00,4.28,Happy Meal®,Breakfast Menu
136,2023/02/16,Thu,South Korea,Hot Cakes 2pc,5500.00,4.28,Happy Meal®,Breakfast Menu
