,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
178,2023/12/21,Thu,Pakistan,Americano,332.00,1.17,McCafé Drinks,Breakfast
179,2023/12/21,Thu,Pakistan,Vanilla Frappe,608.00,2.14,McCafé Drinks,Breakfast
180,2023/12/21,Thu,Pakistan,Chocolate Frappe,608.00,2.14,McCafé Drinks,Breakfast
181,2023/12/21,Thu,Pakistan,Chocolate Oreo Frappe,608.00,2.14,McCafé Drinks,Breakfast
182,2023/12/21,Thu,Pakistan,Mocha Frappe,625.00,2.20,McCafé Drinks,Breakfast
183,2023/12/21,Thu,Pakistan,Iced Latte,478.00,1.68,McCafé Drinks,Breakfast
184,2023/12/21,Thu,Pakistan,Caramel Iced Latte,478.00,1.68,McCafé Drinks,Breakfast
185,2023/12/21,Thu,Pakistan,Hazelnut Iced Latte,478.00,1.68,McCafé Drinks,Breakfast
186,2023/12/21,Thu,Pakistan,Ice Tea Rasberry,435.00,1.53,McCafé Drinks,Breakfast
187,2023/12/21,Thu,Pakistan,Ice Tea Peach,435.00,1.53,McCafé Drinks,Breakfast
188,2023/12/21,Thu,Pakistan,Ice Tea Lemon,435.00,1.53,McCafé Drinks,Breakfast
189,2023/12/21,Thu,Pakistan,Ice Tea Mango,435.00,1.53,McCafé Drinks,Breakfast
