,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2024/12/30,Mon,India,Sausage McMuffin + Hashbrown,167.00,1.96,McBreakfast
2,2024/12/30,Mon,India,Veg McMuffin + Hashbrown,153.00,1.79,McBreakfast
3,2024/12/30,Mon,India,Egg & Cheese McMuffin + Hashbrown,152.00,1.78,McBreakfast
4,2024/12/30,Mon,India,Chicken Surprise Burger + Hashbrown,112.00,1.31,McBreakfast
5,2024/12/30,Mon,India,Hashbrown + Iced Coffee,233.00,2.73,McBreakfast
6,2024/12/30,Mon,India,McAloo Tikki Burger + Hashbrown,106.00,1.24,McBreakfast
7,2024/12/30,Mon,India,Hashbrown + Cappuccino,202.00,2.37,McBreakfast
8,2024/12/30,Mon,India,Hashbrown + Cold Coffee,244.00,2.86,McBreakfast
9,2024/12/30,Mon,India,Veg McMuffin 3 Pc Meal,268.00,3.14,McBreakfast
10,2024/12/30,Mon,India,Sausage McMuffin 3 Pc Meal,277.00,3.24,McBreakfast
11,2024/12/30,Mon,India,Sausage with Egg McMuffin 3 Pc Meal,299.00,3.50,McBreakfast
12,2024/12/30,Mon,India,Double Cheese McMuffin 3 Pc Meal,245.00,2.87,McBreakfast
13,2024/12/30,Mon,India,Egg & Cheese McMuffin 3 Pc Meal,245.00,2.87,McBreakfast
14,2024/12/30,Mon,India,Spicy Egg McMuffin 3 Pc Meal,256.00,3.00,McBreakfast
15,2024/12/30,Mon,India,Hot Cake 3 Pc Meal,284.00,3.33,McBreakfast
16,2024/12/30,Mon,India,Egg & Cheese McMuffin - Sandwich,103.00,1.21,McBreakfast
17,2024/12/30,Mon,India,Sausage & Egg McMuffin - Sandwich,156.00,1.83,McBreakfast
18,2024/12/30,Mon,India,Spicy Egg McMuffin - Sandwich,109.00,1.28,McBreakfast
19,2024/12/30,Mon,India,Sausage McMuffin - Sandwich,134.00,1.57,McBreakfast
20,2024/12/30,Mon,India,Veg McMuffin - Sandwich,119.00,1.39,McBreakfast
21,2024/12/30,Mon,India,Hashbrown,54.00,0.63,McBreakfast
22,2024/12/30,Mon,India,Hot Cakes With Maple Syrup,149.00,1.75,McBreakfast
23,2024/12/30,Mon,India,Double Cheese McMuffin- Sandwich,103.00,1.21,McBreakfast
24,2024/12/30,Mon,India,Hot Cake 2 Pc Meal,267.00,3.13,McBreakfast
25,2024/12/30,Mon,India,Egg & Cheese McMuffin - sandwich Combo,154.00,1.80,McBreakfast
26,2024/12/30,Mon,India,Spicy Egg McMuffin - sandwich combo,154.00,1.80,McBreakfast
27,2024/12/30,Mon,India,Double Cheese McMuffin Sandwich Combo,154.00,1.80,McBreakfast
28,2024/12/30,Mon,India,Sausage McMuffin Sandwich Combo,256.00,3.00,McBreakfast
29,2024/12/30,Mon,India,Sausage & Egg McMuffin Sandwich Combo,273.00,3.20,McBreakfast
30,2024/12/30,Mon,India,Veg McMuffin Sandwich Combo,247.00,2.89,McBreakfast
31,2024/12/30,Mon,India,Mc Crispy Chicken Burger + McChicken Burger + Fries (M),415.00,4.86,Newly Launched
32,2024/12/30,Mon,India,Crispy Veggie Burger + McVeggie Burger + Fries (M),409.00,4.79,Newly Launched
33,2024/12/30,Mon,India,2 Crispy Veggie Burger + 2 Fries (M) + Veg Pizza McPuff,589.00,6.90,Newly Launched
34,2024/12/30,Mon,India,2 Mc Crispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,669.00,7.84,Newly Launched
35,2024/12/30,Mon,India,Crispy Veggie Burger,200.00,2.34,Newly Launched
36,2024/12/30,Mon,India,2 Crispy Veggie Burger + Fries (L) + 2 Coke,619.00,7.25,Newly Launched
37,2024/12/30,Mon,India,2 Mc Crispy Chicken Burger + Fries (L) + 2 Coke,709.00,8.30,Newly Launched
38,2024/12/30,Mon,India,Mc Crispy Chicken Burger,224.00,2.62,Newly Launched
39,2024/12/30,Mon,India,Crispy Veggie Burger + McAloo Tikki,245.00,2.87,Newly Launched
40,2024/12/30,Mon,India,Mc Crispy Chicken Burger + McAloo Tikki,295.00,3.46,Newly Launched
41,2024/12/30,Mon,India,Crispy Veggie Burger + Classic Cheese Fries,309.00,3.62,Newly Launched
42,2024/12/30,Mon,India,Mc Crispy Chicken Burger + Classic Cheese Fries,369.00,4.32,Newly Launched
43,2024/12/30,Mon,India,Crispy Veggie Burger + Piri Piri Fries (M),309.00,3.62,Newly Launched
44,2024/12/30,Mon,India,Crispy Veggie Burger Meal (M),327.00,3.83,Newly Launched
45,2024/12/30,Mon,India,Mc Crispy Chicken Burger + Piri Piri Fries (M),359.00,4.21,Newly Launched
46,2024/12/30,Mon,India,Mc Crispy Chicken Burger Meal (M),367.00,4.30,Newly Launched
47,2024/12/30,Mon,India,Iced Coffee with Cinammon Spice,229.00,2.68,Newly Launched
48,2024/12/30,Mon,India,Classic Coffee Regular with Cinammon Spice,237.00,2.78,Newly Launched
49,2024/12/30,Mon,India,Cappuccino Small with Cinammon Spice,195.00,2.28,Newly Launched
50,2024/12/30,Mon,India,Iced Coffee with French Vanilla,229.00,2.68,Newly Launched
51,2024/12/30,Mon,India,Classic Coffee Regular with French Vanilla,237.00,2.78,Newly Launched
52,2024/12/30,Mon,India,Cappuccino Small with French Vanilla,195.00,2.28,Newly Launched
53,2024/12/30,Mon,India,Iced Coffee with Hazelnut,229.00,2.68,Newly Launched
54,2024/12/30,Mon,India,Cappuccino Small with Hazelnut,195.00,2.28,Newly Launched
55,2024/12/30,Mon,India,Classic Coffee Regular with Hazelnut,237.00,2.78,Newly Launched
56,2024/12/30,Mon,India,Mc Crispy Chicken Burger + McChicken Burger + Fries (M),415.00,4.86,Group Sharing Combos
57,2024/12/30,Mon,India,Crispy Veggie Burger + McVeggie Burger + Fries (M),409.00,4.79,Group Sharing Combos
58,2024/12/30,Mon,India,2 Crispy Veggie Burger + 2 Fries (M) + Veg Pizza McPuff,589.00,6.90,Group Sharing Combos
59,2024/12/30,Mon,India,2 Mc Crispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,669.00,7.84,Group Sharing Combos
60,2024/12/30,Mon,India,2 Crispy Veggie Burger + Fries (L) + 2 Coke,619.00,7.25,Group Sharing Combos
