,Date,Day,Territory,Menu Item,Price (INR),Price (USD),Category
1,2024/10/14,Mon,India,McCrispy Chicken Burger + McChicken Burger + Fries (M),415.00,4.94,Newly Launched
2,2024/10/14,Mon,India,Crispy Veggie Burger + McVeggie Burger + Fries (M),409.00,4.86,Newly Launched
3,2024/10/14,Mon,India,2 Crispy Veggie Burger + 2 Fries (M) + Veg Pizza McPuff,589.00,7.00,Newly Launched
4,2024/10/14,Mon,India,2 McCrispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,669.00,7.96,Newly Launched
5,2024/10/14,Mon,India,Crispy Veggie Burger,200.00,2.38,Newly Launched
6,2024/10/14,Mon,India,2 Crispy Veggie Burger + Fries (L) + 2 Coke,619.00,7.36,Newly Launched
7,2024/10/14,Mon,India,2 McCrispy Chicken Burger + Fries (L) + 2 Coke,709.00,8.43,Newly Launched
8,2024/10/14,Mon,India,McCrispy Chicken Burger,224.00,2.66,Newly Launched
9,2024/10/14,Mon,India,Crispy Veggie Burger + McAloo Tikki,245.00,2.91,Newly Launched
10,2024/10/14,Mon,India,McCrispy Chicken Burger + McAloo Tikki,295.00,3.51,Newly Launched
11,2024/10/14,Mon,India,Crispy Veggie Burger + Classic Cheese Fries,309.00,3.67,Newly Launched
12,2024/10/14,Mon,India,McCrispy Chicken Burger + Classic Cheese Fries,369.00,4.39,Newly Launched
13,2024/10/14,Mon,India,Crispy Veggie Burger + Piri Piri Fries (M),309.00,3.67,Newly Launched
14,2024/10/14,Mon,India,Crispy Veggie Burger Meal (M),327.00,3.89,Newly Launched
15,2024/10/14,Mon,India,McCrispy Chicken Burger + Piri Piri Fries (M),359.00,4.27,Newly Launched
16,2024/10/14,Mon,India,McCrispy Chicken Burger Meal (M),367.00,4.36,Newly Launched
17,2024/10/14,Mon,India,Iced Coffee with Cinammon Spice,229.00,2.72,Newly Launched
18,2024/10/14,Mon,India,Classic Coffee Regular with Cinammon Spice,237.00,2.82,Newly Launched
19,2024/10/14,Mon,India,Cappuccino Small with Cinammon Spice,195.00,2.32,Newly Launched
20,2024/10/14,Mon,India,Iced Coffee with French Vanilla,229.00,2.72,Newly Launched
21,2024/10/14,Mon,India,Classic Coffee Regular with French Vanilla,237.00,2.82,Newly Launched
22,2024/10/14,Mon,India,Cappuccino Small with French Vanilla,195.00,2.32,Newly Launched
23,2024/10/14,Mon,India,Iced Coffee with Hazelnut,229.00,2.72,Newly Launched
24,2024/10/14,Mon,India,Cappuccino Small with Hazelnut,195.00,2.32,Newly Launched
25,2024/10/14,Mon,India,Classic Coffee Regular with Hazelnut,237.00,2.82,Newly Launched
26,2024/10/14,Mon,India,McCrispy Chicken Burger + McChicken Burger + Fries (M),415.00,4.94,Group Sharing Combos
27,2024/10/14,Mon,India,Crispy Veggie Burger + McVeggie Burger + Fries (M),409.00,4.86,Group Sharing Combos
28,2024/10/14,Mon,India,2 Crispy Veggie Burger + 2 Fries (M) + Veg Pizza McPuff,589.00,7.00,Group Sharing Combos
29,2024/10/14,Mon,India,2 McCrispy Chicken Burger + 2 Fries (M) + Veg Pizza McPuff,669.00,7.96,Group Sharing Combos
30,2024/10/14,Mon,India,2 Crispy Veggie Burger + Fries (L) + 2 Coke,619.00,7.36,Group Sharing Combos
31,2024/10/14,Mon,India,2 McCrispy Chicken Burger + Fries (L) + 2 Coke,709.00,8.43,Group Sharing Combos
32,2024/10/14,Mon,India,Burger Combo for 2: McChicken Burger,449.00,5.34,Group Sharing Combos
33,2024/10/14,Mon,India,Burger Combo for 2: McVeggie + McAloo Tikki with Pizza McPuff,409.00,4.86,Group Sharing Combos
34,2024/10/14,Mon,India,Burger Combo for 2: McSpicy Chicken + McChicken,449.00,5.34,Group Sharing Combos
35,2024/10/14,Mon,India,Burger Combo for 2: McSpicy Deluxe Paneer Burger,579.00,6.89,Group Sharing Combos
36,2024/10/14,Mon,India,Burger Combo for 2: McSpicy Deluxe Chicken Burger,550.00,6.54,Group Sharing Combos
37,2024/10/14,Mon,India,Burger Combo for 2: McCheese Burger Veg,629.00,7.48,Group Sharing Combos
38,2024/10/14,Mon,India,Burger Combo for 2: McCheese Burger Chicken,659.00,7.84,Group Sharing Combos
39,2024/10/14,Mon,India,Burger Combo for 2: Corn & Cheese Burger,449.00,5.34,Group Sharing Combos
40,2024/10/14,Mon,India,Burger Combo for 2: Grilled Chicken & Cheese,479.00,5.70,Group Sharing Combos
