,Date,Day,Territory,Menu Item,Price (BND),Price (USD),Category
1,2023/12/01,Fri,Brunei,Big Mac (Value Meal) — Medium,6.50,4.86,Regular Value Meal
2,2023/12/01,Fri,Brunei,Big Mac (Value Meal) — Large,7.10,5.31,Regular Value Meal
3,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Medium,6.30,4.71,Regular Value Meal
4,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Regular (Value Meal) — Large,6.90,5.16,Regular Value Meal
5,2023/12/01,Fri,Brunei,Double Cheeseburger (Value Meal) — Medium,6.20,4.64,Regular Value Meal
6,2023/12/01,Fri,Brunei,Double Cheeseburger (Value Meal) — Large,6.80,5.08,Regular Value Meal
7,2023/12/01,Fri,Brunei,Nasi Lemak Set B (1 Pc Chicken),5.20,3.89,Regular Value Meal
8,2023/12/01,Fri,Brunei,Nasi Lemak Set A (2 Pcs Chicken),6.70,5.01,Regular Value Meal
9,2023/12/01,Fri,Brunei,Big Mac (A La Carte),5.50,4.11,Regular Value Meal
10,2023/12/01,Fri,Brunei,6 Pcs Fish Nuggets (A La Carte),4.00,2.99,Regular Value Meal
11,2023/12/01,Fri,Brunei,Double Cheeseburger (A La Carte),5.10,3.81,Regular Value Meal
12,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Spicy (A La Carte),5.30,3.96,Regular Value Meal
13,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Regular (A La Carte),5.30,3.96,Regular Value Meal
14,2023/12/01,Fri,Brunei,Filet-O-Fish (Value Meal) — Medium,5.60,4.19,Regular Value Meal
15,2023/12/01,Fri,Brunei,Filet-O-Fish (Value Meal) — Large,6.20,4.64,Regular Value Meal
16,2023/12/01,Fri,Brunei,Spicy Chicken McDeluxe (A La Carte),5.60,4.19,Regular Value Meal
17,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Medium,6.30,4.71,Regular Value Meal
18,2023/12/01,Fri,Brunei,2 Pcs Ayam Goreng Spicy (Value Meal) — Large,6.90,5.16,Regular Value Meal
19,2023/12/01,Fri,Brunei,Filet-O-Fish (A La Carte),3.80,2.84,Regular Value Meal
20,2023/12/01,Fri,Brunei,Spicy Chicken McDeluxe (Value Meal) — Medium,6.80,5.08,Regular Value Meal
21,2023/12/01,Fri,Brunei,Spicy Chicken McDeluxe (Value Meal) — Large,7.40,5.53,Regular Value Meal
22,2023/12/01,Fri,Brunei,Chicken McNuggets — 6 Pieces - A la carte,4.60,3.44,Regular Value Meal
23,2023/12/01,Fri,Brunei,Chicken McNuggets — 6 Pieces - Medium Value Meal,6.10,4.56,Regular Value Meal
24,2023/12/01,Fri,Brunei,McChicken — Ala Carte,5.00,3.74,Regular Value Meal
25,2023/12/01,Fri,Brunei,McChicken — Medium,6.00,4.49,Regular Value Meal
26,2023/12/01,Fri,Brunei,McChicken — Large,6.60,4.94,Regular Value Meal
27,2023/12/01,Fri,Brunei,McChicken Deluxe — Ala Carte,5.20,3.89,Regular Value Meal
28,2023/12/01,Fri,Brunei,McChicken Deluxe — Medium,6.20,4.64,Regular Value Meal
29,2023/12/01,Fri,Brunei,McChicken Deluxe — Large,6.80,5.08,Regular Value Meal
30,2023/12/01,Fri,Brunei,Happy Meal Beefburger,4.90,3.66,Happy Meal
31,2023/12/01,Fri,Brunei,Happy Meal Cheeseburger,5.20,3.89,Happy Meal
32,2023/12/01,Fri,Brunei,Happy Meal Fish Nuggets (4pcs),5.50,4.11,Happy Meal
33,2023/12/01,Fri,Brunei,Happy Meal Ayam Goreng McD (1pc),5.20,3.89,Happy Meal
34,2023/12/01,Fri,Brunei,Happy Meal Bubur McD (S),5.20,3.89,Happy Meal
35,2023/12/01,Fri,Brunei,Happy Meal Chicken Nuggets (4pcs),5.50,4.11,Happy Meal
36,2023/12/01,Fri,Brunei,6 Pcs Fish Nuggets,4.00,2.99,Sides
37,2023/12/01,Fri,Brunei,9 Pcs Fish Nuggets,5.40,4.04,Sides
38,2023/12/01,Fri,Brunei,20 Pcs Fish Nuggets,10.50,7.85,Sides
39,2023/12/01,Fri,Brunei,2pcs Ayam Goreng McD,5.30,3.96,Sides
40,2023/12/01,Fri,Brunei,5pcs Ayam Goreng McD,12.00,8.97,Sides
41,2023/12/01,Fri,Brunei,9pcs Ayam Goreng McD,21.80,16.30,Sides
42,2023/12/01,Fri,Brunei,Rice,0.80,0.60,Sides
43,2023/12/01,Fri,Brunei,French fries — Medium,2.20,1.65,Sides
44,2023/12/01,Fri,Brunei,French fries — Large,2.50,1.87,Sides
45,2023/12/01,Fri,Brunei,Cakoi — 1 Pc,1.50,1.12,Sides
46,2023/12/01,Fri,Brunei,Cakoi — 2 Pc,2.80,2.09,Sides
47,2023/12/01,Fri,Brunei,Bubur McD — Small,3.20,2.39,Sides
48,2023/12/01,Fri,Brunei,Bubur McD — Large,3.70,2.77,Sides
49,2023/12/01,Fri,Brunei,Medium fries,2.20,1.65,Sides
50,2023/12/01,Fri,Brunei,Apple Pie — 1 Pc,1.80,1.35,Dessert
51,2023/12/01,Fri,Brunei,Apple Pie — 2 Pc,3.30,2.47,Dessert
52,2023/12/01,Fri,Brunei,Passion Cooler Fizz,3.50,2.62,Padas Promotion
53,2023/12/01,Fri,Brunei,Nasi Lemak Burger (A La Carte),5.40,4.04,Promotion: Limited Time Only
54,2023/12/01,Fri,Brunei,Grilled Chicken Burger (A La Carte),5.50,4.11,Promotion: Limited Time Only
55,2023/12/01,Fri,Brunei,Nasi Lemak Burger (Value Meal) — Medium,6.60,4.94,Promotion: Limited Time Only
56,2023/12/01,Fri,Brunei,Nasi Lemak Burger (Value Meal) — Large,7.20,5.38,Promotion: Limited Time Only
57,2023/12/01,Fri,Brunei,Grilled Chicken Burger (Value Meal) — Medium,7.50,5.61,Promotion: Limited Time Only
58,2023/12/01,Fri,Brunei,Grilled Chicken Burger (Value Meal) — Large,8.10,6.06,Promotion: Limited Time Only
