,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
1,2022/05/18,Wed,Pakistan,Dum Mastam Deal - KitKat McFrlurry & Shake,668.00,3.45,Delivery Exclusive,Regular
2,2022/05/18,Wed,Pakistan,Dum Mastam Deal - KitKat McFrlurry & Shake,668.00,3.45,Delivery Exclusive,Breakfast
3,2022/05/18,Wed,Pakistan,Hot n Crispy Burger,259.00,1.34,★What's New★,Regular
4,2022/05/18,Wed,Pakistan,Chicken Wings 3pcs,237.00,1.22,★What's New★,Regular
5,2022/05/18,Wed,Pakistan,Dum Mastam Deal - KitKat McFrlurry & Shake,668.00,3.45,★What's New★,Regular
6,2022/05/18,Wed,Pakistan,McFlurry KitKat,388.00,2.00,★What's New★,Regular
7,2022/05/18,Wed,Pakistan,KitKat Shake,366.00,1.89,★What's New★,Regular
8,2022/05/18,Wed,Pakistan,Hot n Crispy Burger,259.00,1.34,Chicken & Fish,Regular
9,2022/05/18,Wed,Pakistan,McCrispy - Mayonnaise,453.00,2.34,Chicken & Fish,Regular
10,2022/05/18,Wed,Pakistan,Chicken Mac,582.00,3.01,Chicken & Fish,Regular
11,2022/05/18,Wed,Pakistan,McChicken ,401.00,2.07,Chicken & Fish,Regular
12,2022/05/18,Wed,Pakistan,Grand Chicken Spicy,711.00,3.67,Chicken & Fish,Regular
13,2022/05/18,Wed,Pakistan,McArabia,625.00,3.23,Chicken & Fish,Regular
14,2022/05/18,Wed,Pakistan,Chicken McNuggets 6 pcs,453.00,2.34,Chicken & Fish,Regular
15,2022/05/18,Wed,Pakistan,Chicken McNuggets 9 pcs,616.00,3.18,Chicken & Fish,Regular
16,2022/05/18,Wed,Pakistan,Chicken McNuggets 20 pcs,961.00,4.97,Chicken & Fish,Regular
17,2022/05/18,Wed,Pakistan,Chicken Wings 3pcs,237.00,1.22,Chicken & Fish,Regular
18,2022/05/18,Wed,Pakistan,Chicken Burger with Cheese,306.00,1.58,Chicken & Fish,Regular
19,2022/05/18,Wed,Pakistan,Value McArabia Chicken,358.00,1.85,Chicken & Fish,Regular
20,2022/05/18,Wed,Pakistan,Mini McRoyale,358.00,1.85,Chicken & Fish,Regular
21,2022/05/18,Wed,Pakistan,Cheese Burger,332.00,1.72,Chicken & Fish,Regular
22,2022/05/18,Wed,Pakistan,Filet-O-Fish ,478.00,2.47,Chicken & Fish,Regular
23,2022/05/18,Wed,Pakistan,Garlic Mayo Wrap,323.00,1.67,Chicken & Fish,Regular
24,2022/05/18,Wed,Pakistan,Chipotle Wrap,323.00,1.67,Chicken & Fish,Regular
25,2022/05/18,Wed,Pakistan,BBQ Wrap,323.00,1.67,Chicken & Fish,Regular
26,2022/05/18,Wed,Pakistan,Big Mac,582.00,3.01,Beef,Regular
27,2022/05/18,Wed,Pakistan,Quarter Pounder,582.00,3.01,Beef,Regular
28,2022/05/18,Wed,Pakistan,McRoyale ,582.00,3.01,Beef,Regular
29,2022/05/18,Wed,Pakistan,Double Cheese Burger,513.00,2.65,Beef,Regular
30,2022/05/18,Wed,Pakistan,Spicy McCrispy Double,694.00,3.59,Double Patty Burgers,Regular
31,2022/05/18,Wed,Pakistan,Hot n Crispy Double,345.00,1.78,Double Patty Burgers,Regular
32,2022/05/18,Wed,Pakistan,McChicken Double,591.00,3.05,Double Patty Burgers,Regular
33,2022/05/18,Wed,Pakistan,Double Big Mac,754.00,3.90,Double Patty Burgers,Regular
34,2022/05/18,Wed,Pakistan,Quarter Pounder Double,797.00,4.12,Double Patty Burgers,Regular
35,2022/05/18,Wed,Pakistan,Filet-O-Fish Double,616.00,3.18,Double Patty Burgers,Regular
36,2022/05/18,Wed,Pakistan,2pcs Spicy Chicken With Regular Drink,427.00,2.21,Crispy Fried Chicken,Regular
37,2022/05/18,Wed,Pakistan,2pcs Crispy Chicken With Regular Drink,427.00,2.21,Crispy Fried Chicken,Regular
38,2022/05/18,Wed,Pakistan,2 Pieces Crispy Chicken,582.00,3.01,Crispy Fried Chicken,Regular
39,2022/05/18,Wed,Pakistan,3 Pieces Spicy Chicken with Regular Fries & Drink,754.00,3.90,Crispy Fried Chicken,Regular
40,2022/05/18,Wed,Pakistan,3 Pieces Crispy Chicken,754.00,3.90,Crispy Fried Chicken,Regular
41,2022/05/18,Wed,Pakistan,9pcs Spicy Chicken Bucket Meal,1832.00,9.47,Crispy Fried Chicken,Regular
42,2022/05/18,Wed,Pakistan,9pcs Crispy Chicken Bucket Meal,1832.00,9.47,Crispy Fried Chicken,Regular
43,2022/05/18,Wed,Pakistan,Chicken Value Sharebag,1737.00,8.97,Share Bag,Regular
44,2022/05/18,Wed,Pakistan,Share Bag- CHICKEN PLUS,1961.00,10.13,Share Bag,Regular
45,2022/05/18,Wed,Pakistan,9pcs Spicy Chicken Bucket Meal,1832.00,9.47,Share Bag,Regular
46,2022/05/18,Wed,Pakistan,9pcs Crispy Chicken Bucket Meal,1832.00,9.47,Share Bag,Regular
47,2022/05/18,Wed,Pakistan,Happy Meal Beef Burger ,384.00,1.98,Happy Meals,Regular
48,2022/05/18,Wed,Pakistan,Happy Meal Cheese Burger,470.00,2.43,Happy Meals,Regular
49,2022/05/18,Wed,Pakistan,Happy Meal Chicken Burger ,470.00,2.43,Happy Meals,Regular
50,2022/05/18,Wed,Pakistan,Happy Meal 4pcs Chicken McNuggets,470.00,2.43,Happy Meals,Regular
51,2022/05/18,Wed,Pakistan,Double Chocolate Pie,254.00,1.31,Desserts,Regular
52,2022/05/18,Wed,Pakistan,McFlurry KitKat,388.00,2.00,Desserts,Regular
53,2022/05/18,Wed,Pakistan,Apple Pie,237.00,1.22,Desserts,Regular
54,2022/05/18,Wed,Pakistan,Sundae Brownie,366.00,1.89,Desserts,Regular
55,2022/05/18,Wed,Pakistan,McFlurry Oreo,366.00,1.89,Desserts,Regular
56,2022/05/18,Wed,Pakistan,Hot Fudge Sundae,323.00,1.67,Desserts,Regular
57,2022/05/18,Wed,Pakistan,Strawberry Sundae,323.00,1.67,Desserts,Regular
58,2022/05/18,Wed,Pakistan,Cardamom Tea,237.00,1.22,Beverages,Regular
59,2022/05/18,Wed,Pakistan,Regular Tea,194.00,1.00,Beverages,Regular
60,2022/05/18,Wed,Pakistan,Green Tea,177.00,0.91,Beverages,Regular
61,2022/05/18,Wed,Pakistan,Orange Juice,280.00,1.45,Beverages,Regular
62,2022/05/18,Wed,Pakistan,Vanila Shake,323.00,1.67,Beverages,Regular
63,2022/05/18,Wed,Pakistan,KitKat Shake,366.00,1.89,Beverages,Regular
64,2022/05/18,Wed,Pakistan,Chocolate Shake,323.00,1.67,Beverages,Regular
65,2022/05/18,Wed,Pakistan,Strawberry Shake,323.00,1.67,Beverages,Regular
66,2022/05/18,Wed,Pakistan,McFizz Strawberry,237.00,1.22,Beverages,Regular
67,2022/05/18,Wed,Pakistan,Coke,185.00,0.96,Beverages,Regular
68,2022/05/18,Wed,Pakistan,Sprite,185.00,0.96,Beverages,Regular
69,2022/05/18,Wed,Pakistan,Fanta,185.00,0.96,Beverages,Regular
70,2022/05/18,Wed,Pakistan,Coke Zero,185.00,0.96,Beverages,Regular
71,2022/05/18,Wed,Pakistan,Bottled Water,39.00,0.20,Beverages,Regular
72,2022/05/18,Wed,Pakistan,McFries,384.00,1.98,Fries & Sides,Regular
73,2022/05/18,Wed,Pakistan,Chicken Wings 3pcs,237.00,1.22,Fries & Sides,Regular
74,2022/05/18,Wed,Pakistan,Chicken McNuggets 6 pcs,453.00,2.34,Fries & Sides,Regular
75,2022/05/18,Wed,Pakistan,Chicken McNuggets 9 pcs,616.00,3.18,Fries & Sides,Regular
76,2022/05/18,Wed,Pakistan,Chicken McNuggets 20 pcs,961.00,4.97,Fries & Sides,Regular
77,2022/05/18,Wed,Pakistan,6pcs Donuts,1185.00,6.12,McCafé Bakery,Regular
78,2022/05/18,Wed,Pakistan,Boston Cream,237.00,1.22,McCafé Bakery,Regular
79,2022/05/18,Wed,Pakistan,Chocolate Fudge,237.00,1.22,McCafé Bakery,Regular
80,2022/05/18,Wed,Pakistan,Caramel Cream,237.00,1.22,McCafé Bakery,Regular
81,2022/05/18,Wed,Pakistan,Vanilla Sprinkle,237.00,1.22,McCafé Bakery,Regular
82,2022/05/18,Wed,Pakistan,Chocolate Sprinkle,237.00,1.22,McCafé Bakery,Regular
83,2022/05/18,Wed,Pakistan,Glazed,237.00,1.22,McCafé Bakery,Regular
84,2022/05/18,Wed,Pakistan,Caramel Ring,237.00,1.22,McCafé Bakery,Regular
85,2022/05/18,Wed,Pakistan,Butter Croissant,332.00,1.72,McCafé Bakery,Regular
86,2022/05/18,Wed,Pakistan,Blueberry Muffin,349.00,1.80,McCafé Bakery,Regular
87,2022/05/18,Wed,Pakistan,Double Chocolate Muffin,323.00,1.67,McCafé Bakery,Regular
88,2022/05/18,Wed,Pakistan,Milk Chocolate Cookie,194.00,1.00,McCafé Bakery,Regular
89,2022/05/18,Wed,Pakistan,Double Chocolate Cookie,194.00,1.00,McCafé Bakery,Regular
90,2022/05/18,Wed,Pakistan,Tiramisu Cake,453.00,2.34,McCafé Bakery,Regular
91,2022/05/18,Wed,Pakistan,Babyccino,108.00,0.56,McCafé Drinks,Regular
92,2022/05/18,Wed,Pakistan,Espresso - Single Shot,151.00,0.78,McCafé Drinks,Regular
93,2022/05/18,Wed,Pakistan,Macchiato,151.00,0.78,McCafé Drinks,Regular
94,2022/05/18,Wed,Pakistan,Cappuccino,358.00,1.85,McCafé Drinks,Regular
95,2022/05/18,Wed,Pakistan,Latte,358.00,1.85,McCafé Drinks,Regular
96,2022/05/18,Wed,Pakistan,Mochaccino,409.00,2.11,McCafé Drinks,Regular
97,2022/05/18,Wed,Pakistan,Hazelnut Latte,375.00,1.94,McCafé Drinks,Regular
98,2022/05/18,Wed,Pakistan,Hot Chocolate,409.00,2.11,McCafé Drinks,Regular
99,2022/05/18,Wed,Pakistan,Caramel Latte,375.00,1.94,McCafé Drinks,Regular
100,2022/05/18,Wed,Pakistan,Americano,280.00,1.45,McCafé Drinks,Regular
101,2022/05/18,Wed,Pakistan,Vanilla Frappe,539.00,2.78,McCafé Drinks,Regular
102,2022/05/18,Wed,Pakistan,Chocolate Frappe,539.00,2.78,McCafé Drinks,Regular
