,Date,Day,Territory,Menu Item,Price (PKR),Price (USD),Category,Menu
0,2022/04/02,Sat,Pakistan,"Chicken Mac, McChicken & 2 Reg. Drinks",647.00,3.51,Delivery Exclusive,Regular
1,2022/04/02,Sat,Pakistan,Hot n Crispy Burger,259.00,1.41,★What's New★,Regular
2,2022/04/02,Sat,Pakistan,McFlurry KitKat,388.00,2.11,★What's New★,Regular
3,2022/04/02,Sat,Pakistan,KitKat Shake,366.00,1.99,★What's New★,Regular
4,2022/04/02,Sat,Pakistan,Hot n Crispy Burger,259.00,1.41,Chicken & Fish,Regular
5,2022/04/02,Sat,Pakistan,McCrispy - Mayonnaise,444.00,2.41,Chicken & Fish,Regular
6,2022/04/02,Sat,Pakistan,Chicken Mac,556.00,3.02,Chicken & Fish,Regular
7,2022/04/02,Sat,Pakistan,McChicken ,384.00,2.08,Chicken & Fish,Regular
8,2022/04/02,Sat,Pakistan,Grand Chicken Spicy,685.00,3.72,Chicken & Fish,Regular
9,2022/04/02,Sat,Pakistan,McArabia,625.00,3.39,Chicken & Fish,Regular
10,2022/04/02,Sat,Pakistan,Chicken McNuggets 6 pcs,453.00,2.46,Chicken & Fish,Regular
11,2022/04/02,Sat,Pakistan,Chicken McNuggets 9 pcs,591.00,3.21,Chicken & Fish,Regular
12,2022/04/02,Sat,Pakistan,Chicken McNuggets 20 pcs,927.00,5.03,Chicken & Fish,Regular
13,2022/04/02,Sat,Pakistan,Chicken Burger with Cheese,306.00,1.66,Chicken & Fish,Regular
14,2022/04/02,Sat,Pakistan,Value McArabia Chicken,358.00,1.94,Chicken & Fish,Regular
15,2022/04/02,Sat,Pakistan,Mini McRoyale,358.00,1.94,Chicken & Fish,Regular
16,2022/04/02,Sat,Pakistan,Cheese Burger,323.00,1.75,Chicken & Fish,Regular
17,2022/04/02,Sat,Pakistan,Filet-O-Fish ,470.00,2.55,Chicken & Fish,Regular
18,2022/04/02,Sat,Pakistan,Chipotle Wrap,319.00,1.73,Chicken & Fish,Regular
19,2022/04/02,Sat,Pakistan,BBQ Wrap,319.00,1.73,Chicken & Fish,Regular
20,2022/04/02,Sat,Pakistan,Big Mac,556.00,3.02,Beef,Regular
21,2022/04/02,Sat,Pakistan,Quarter Pounder,556.00,3.02,Beef,Regular
22,2022/04/02,Sat,Pakistan,McRoyale ,556.00,3.02,Beef,Regular
23,2022/04/02,Sat,Pakistan,Double Cheese Burger,487.00,2.64,Beef,Regular
24,2022/04/02,Sat,Pakistan,Spicy McCrispy Double,668.00,3.62,Double Patty Burgers,Regular
25,2022/04/02,Sat,Pakistan,McChicken Double,573.00,3.11,Double Patty Burgers,Regular
26,2022/04/02,Sat,Pakistan,Double Big Mac,711.00,3.86,Double Patty Burgers,Regular
27,2022/04/02,Sat,Pakistan,Quarter Pounder Double,754.00,4.09,Double Patty Burgers,Regular
28,2022/04/02,Sat,Pakistan,Filet-O-Fish Double,582.00,3.16,Double Patty Burgers,Regular
29,2022/04/02,Sat,Pakistan,2pcs Spicy Chicken With Regular Drink,427.00,2.32,Crispy Fried Chicken,Regular
30,2022/04/02,Sat,Pakistan,2pcs Crispy Chicken With Regular Drink,427.00,2.32,Crispy Fried Chicken,Regular
31,2022/04/02,Sat,Pakistan,2 Pieces Crispy Chicken,573.00,3.11,Crispy Fried Chicken,Regular
32,2022/04/02,Sat,Pakistan,3 Pieces Spicy Chicken with Regular Fries & Drink,711.00,3.86,Crispy Fried Chicken,Regular
33,2022/04/02,Sat,Pakistan,3 Pieces Crispy Chicken,711.00,3.86,Crispy Fried Chicken,Regular
34,2022/04/02,Sat,Pakistan,9pcs Spicy Chicken Bucket Meal,1789.00,9.71,Crispy Fried Chicken,Regular
35,2022/04/02,Sat,Pakistan,9pcs Crispy Chicken Bucket Meal,1789.00,9.71,Crispy Fried Chicken,Regular
36,2022/04/02,Sat,Pakistan,Chicken Value Sharebag,1737.00,9.43,Share Bag,Regular
37,2022/04/02,Sat,Pakistan,Share Bag- CHICKEN PLUS,1909.00,10.36,Share Bag,Regular
38,2022/04/02,Sat,Pakistan,9pcs Spicy Chicken Bucket Meal,1789.00,9.71,Share Bag,Regular
