,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2023/07/01,Sat,Thailand,McFried Chicken,89.00,2.52,New Promotions,Regular
2,2023/07/01,Sat,Thailand,McFried Chicken Super Max Set,319.00,9.03,New Promotions,Regular
3,2023/07/01,Sat,Thailand,Chicken Bites,59.00,1.67,New Promotions,Regular
4,2023/07/01,Sat,Thailand,Sharing Box Set (New),119.00,3.37,New Promotions,Regular
5,2023/07/01,Sat,Thailand,Party Snack Set 2 (New),219.00,6.20,New Promotions,Regular
6,2023/07/01,Sat,Thailand,McNuggets 12pcs with Cajun & Sweet Chili (A-la-carte),129.00,3.65,New Promotions,Regular
7,2023/07/01,Sat,Thailand,McNuggets 12pcs with Cajun & Sweet Chili (Set),204.00,5.78,New Promotions,Regular
8,2023/07/01,Sat,Thailand,Special set 1,219.00,6.20,New Promotions,Regular
9,2023/07/01,Sat,Thailand,Special set 2,319.00,9.03,New Promotions,Regular
10,2023/07/01,Sat,Thailand,Special set 3,419.00,11.87,New Promotions,Regular
11,2023/07/01,Sat,Thailand,Curly Fries,99.00,2.80,New Promotions,Regular
12,2023/07/01,Sat,Thailand,McFried Chicken Max Family Set,419.00,11.87,New Promotions,Regular
13,2023/07/01,Sat,Thailand,Curly Fries Party Size,179.00,5.07,New Promotions,Regular
14,2023/07/01,Sat,Thailand,1 pc. McFried Chicken (Original/Spicy),45.00,1.27,New Promotions,Regular
15,2023/07/01,Sat,Thailand,McFried Chicken Super Value Set,109.00,3.09,New Promotions,Regular
16,2023/07/01,Sat,Thailand,McFried Chicken Value Set,149.00,4.22,New Promotions,Regular
17,2023/07/01,Sat,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.56,New Promotions,Regular
