,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category,Menu
1,2023/03/15,Wed,Thailand,Imm Kuu Set,269.00,7.79,New Promotions,Regular
2,2023/03/15,Wed,Thailand,McFried Chicken,89.00,2.58,New Promotions,Regular
3,2023/03/15,Wed,Thailand,Cheesy Beef Burger (A-la-carte),109.00,3.16,New Promotions,Regular
4,2023/03/15,Wed,Thailand,Cheesy Beef Burger (Set),179.00,5.19,New Promotions,Regular
5,2023/03/15,Wed,Thailand,Cheesy Chicken Burger + Dunk Cheese (A-la-carte),139.00,4.03,New Promotions,Regular
6,2023/03/15,Wed,Thailand,Cheesy Chicken Burger + Dunk Cheese (Set),209.00,6.05,New Promotions,Regular
7,2023/03/15,Wed,Thailand,Cheesy Beef Burger + Dunk Cheese + Bacon Bits (A-la-carte),159.00,4.61,New Promotions,Regular
8,2023/03/15,Wed,Thailand,Cheesy Beef Burger + Dunk Cheese + Bacon Bits (Set),229.00,6.63,New Promotions,Regular
9,2023/03/15,Wed,Thailand,Cheesy Chicken Burger + Dunk Cheese + Bacon Bits (A-la-carte),159.00,4.61,New Promotions,Regular
10,2023/03/15,Wed,Thailand,Cheesy Chicken Burger + Dunk Cheese + Bacon Bits (Set),229.00,6.63,New Promotions,Regular
11,2023/03/15,Wed,Thailand,Cheesy Combo Chicken Set,319.00,9.24,New Promotions,Regular
12,2023/03/15,Wed,Thailand,Cheesy Combo Beef Set,319.00,9.24,New Promotions,Regular
13,2023/03/15,Wed,Thailand,Cheesy Combo Mix Set,319.00,9.24,New Promotions,Regular
14,2023/03/15,Wed,Thailand,Bacon Bits,29.00,0.84,New Promotions,Regular
15,2023/03/15,Wed,Thailand,Dunk Cheese,59.00,1.71,New Promotions,Regular
16,2023/03/15,Wed,Thailand,Quarter Pounder with Cheese (A-la-carte),155.00,4.49,New Promotions,Regular
17,2023/03/15,Wed,Thailand,Quarter Pounder with Cheese (Set),230.00,6.66,New Promotions,Regular
18,2023/03/15,Wed,Thailand,Double Quarter Pounder with Cheese (A-la-carte),215.00,6.23,New Promotions,Regular
19,2023/03/15,Wed,Thailand,Double Quarter Pounder with Cheese (Set),290.00,8.40,New Promotions,Regular
20,2023/03/15,Wed,Thailand,Quarter Pounder with Cheese Bacon (A-la-carte),175.00,5.07,New Promotions,Regular
21,2023/03/15,Wed,Thailand,Quarter Pounder with Cheese Bacon (Set),250.00,7.24,New Promotions,Regular
22,2023/03/15,Wed,Thailand,McFlurry Kiss,59.00,1.71,New Promotions,Regular
23,2023/03/15,Wed,Thailand,Cheesy Chicken Burger (A-la-carte),109.00,3.16,New Promotions,Regular
24,2023/03/15,Wed,Thailand,Cheesy Chicken Burger (Set),179.00,5.19,New Promotions,Regular
25,2023/03/15,Wed,Thailand,Sweet Golden Pie,39.00,1.13,New Promotions,Regular
26,2023/03/15,Wed,Thailand,McSpicy Chicken Burger (Chicken) (A-la-carte),119.00,3.45,New Promotions,Regular
27,2023/03/15,Wed,Thailand,McSpicy Chicken Burger (Chicken) (Set),194.00,5.62,New Promotions,Regular
28,2023/03/15,Wed,Thailand,1 pc. McFried Chicken (Original/Spicy),45.00,1.30,New Promotions,Regular
29,2023/03/15,Wed,Thailand,McFried Chicken Super Value Set,109.00,3.16,New Promotions,Regular
30,2023/03/15,Wed,Thailand,McFried Chicken Max Set,219.00,6.34,New Promotions,Regular
31,2023/03/15,Wed,Thailand,McFried Chicken Super Max Set,319.00,9.24,New Promotions,Regular
32,2023/03/15,Wed,Thailand,McFried Chicken Value Set,149.00,4.32,New Promotions,Regular
33,2023/03/15,Wed,Thailand,Pie A-la-mode (Pineapple/Corn),55.00,1.59,New Promotions,Regular
34,2023/03/15,Wed,Thailand,Iced Lemon Tea,45.00,1.30,New Promotions,Regular
