,Date,Day,Territory,Menu Item,Price (LKR),Price (USD),Category,Menu
1,2023/07/25,Tue,Sri Lanka,Crispy Chicken 02 PC,1220.00,3.68,Ala Carte & Value Meals,Regular
2,2023/07/25,Tue,Sri Lanka,Crispy Chicken 05 PC,3080.00,9.30,Ala Carte & Value Meals,Regular
3,2023/07/25,Tue,Sri Lanka,Spicy chicken footlong,840.00,2.54,Ala Carte & Value Meals,Regular
4,2023/07/25,Tue,Sri Lanka,Crispy Chicken Wrap,840.00,2.54,Ala Carte & Value Meals,Regular
5,2023/07/25,Tue,Sri Lanka,McSpicy Chicken Wrap,1700.00,5.13,Ala Carte & Value Meals,Regular
6,2023/07/25,Tue,Sri Lanka,Crispy Chicken Burger,580.00,1.75,Ala Carte & Value Meals,Regular
7,2023/07/25,Tue,Sri Lanka,Chicken Junior,780.00,2.36,Ala Carte & Value Meals,Regular
8,2023/07/25,Tue,Sri Lanka,Beefburger,1050.00,3.17,Ala Carte & Value Meals,Regular
9,2023/07/25,Tue,Sri Lanka,Cheeseburger,1200.00,3.62,Ala Carte & Value Meals,Regular
10,2023/07/25,Tue,Sri Lanka,Double Cheeseburger,1880.00,5.68,Ala Carte & Value Meals,Regular
11,2023/07/25,Tue,Sri Lanka,Big Mac,1820.00,5.50,Ala Carte & Value Meals,Regular
12,2023/07/25,Tue,Sri Lanka,McChicken Burger,1700.00,5.13,Ala Carte & Value Meals,Regular
13,2023/07/25,Tue,Sri Lanka,McSpicy Chicken Burger,1100.00,3.32,Ala Carte & Value Meals,Regular
14,2023/07/25,Tue,Sri Lanka,Chicken Big Mac,1700.00,5.13,Ala Carte & Value Meals,Regular
15,2023/07/25,Tue,Sri Lanka,Chicken McNuggets 6 PC,1500.00,4.53,Ala Carte & Value Meals,Regular
16,2023/07/25,Tue,Sri Lanka,Chicken McNuggets 9 PC,2090.00,6.31,Ala Carte & Value Meals,Regular
17,2023/07/25,Tue,Sri Lanka,McSpicy Chicken Fillet,1320.00,3.99,Ala Carte & Value Meals,Regular
18,2023/07/25,Tue,Sri Lanka,McSpicy Wings 3 PC,570.00,1.72,Ala Carte & Value Meals,Regular
19,2023/07/25,Tue,Sri Lanka,McSpicy Wings 6 PC,1070.00,3.23,Ala Carte & Value Meals,Regular
20,2023/07/25,Tue,Sri Lanka,Filet-O-Fish,1380.00,4.17,Ala Carte & Value Meals,Regular
21,2023/07/25,Tue,Sri Lanka,Veggie Burger,1100.00,3.32,Ala Carte & Value Meals,Regular
22,2023/07/25,Tue,Sri Lanka,Sausage & Egg Burger,580.00,1.75,Breakfast & Value Meals,Breakfast
23,2023/07/25,Tue,Sri Lanka,Egg Burger,440.00,1.33,Breakfast & Value Meals,Breakfast
24,2023/07/25,Tue,Sri Lanka,Hash Brown,340.00,1.03,Breakfast & Value Meals,Breakfast
25,2023/07/25,Tue,Sri Lanka,Crispy Chicken Wrap,840.00,2.54,Breakfast & Value Meals,Breakfast
26,2023/07/25,Tue,Sri Lanka,Crispy Chicken Burger,580.00,1.75,Breakfast & Value Meals,Breakfast
27,2023/07/25,Tue,Sri Lanka,Chicken Junior,780.00,2.36,Breakfast & Value Meals,Breakfast
28,2023/07/25,Tue,Sri Lanka,McSpicy Chicken Burger,1100.00,3.32,Breakfast & Value Meals,Breakfast
29,2023/07/25,Tue,Sri Lanka,Double Chicken Rice meal,1250.00,3.77,Rice,Regular
30,2023/07/25,Tue,Sri Lanka,Curry N Rice,560.00,1.69,Rice,Regular
31,2023/07/25,Tue,Sri Lanka,McRice Chicken,970.00,2.93,Rice,Regular
32,2023/07/25,Tue,Sri Lanka,McRice - Fish,970.00,2.93,Rice,Regular
33,2023/07/25,Tue,Sri Lanka,McRice - Vegetable,970.00,2.93,Rice,Regular
34,2023/07/25,Tue,Sri Lanka,Fries,570.00,1.72,Salads/Sides,Regular
35,2023/07/25,Tue,Sri Lanka,Choco Chip McFlurry,940.00,2.84,Desserts,Regular
36,2023/07/25,Tue,Sri Lanka,OREO McFLURRY,940.00,2.84,Desserts,Regular
37,2023/07/25,Tue,Sri Lanka,Chocolate Sundae,660.00,1.99,Desserts,Regular
38,2023/07/25,Tue,Sri Lanka,Strawberry Sundae,660.00,1.99,Desserts,Regular
39,2023/07/25,Tue,Sri Lanka,Plain Sundae,580.00,1.75,Desserts,Regular
40,2023/07/25,Tue,Sri Lanka,Chocolate flavoured milk,410.00,1.24,Beverages,Regular
41,2023/07/25,Tue,Sri Lanka,Coke zero,310.00,0.94,Beverages,Regular
42,2023/07/25,Tue,Sri Lanka,Coke,370.00,1.12,Beverages,Regular
43,2023/07/25,Tue,Sri Lanka,Fanta,370.00,1.12,Beverages,Regular
44,2023/07/25,Tue,Sri Lanka,Sprite,370.00,1.12,Beverages,Regular
