,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/12/01,Sun,Thailand,Big Mac. (Beef) A-la-carte,149.00,4.35,New Promotions
2,2024/12/01,Sun,Thailand,Big Mac. (Beef) Set,220.00,6.42,New Promotions
3,2024/12/01,Sun,Thailand,Double Cheeseburger (Beef) A-la-carte,139.00,4.05,New Promotions
4,2024/12/01,Sun,Thailand,Double Cheeseburger (Beef) Set,210.00,6.13,New Promotions
5,2024/12/01,Sun,Thailand,Quarter Pounder with Cheese A-la-carte,159.00,4.64,New Promotions
6,2024/12/01,Sun,Thailand,Quarter Pounder with Cheese Set,230.00,6.71,New Promotions
7,2024/12/01,Sun,Thailand,McFlurry made with MILO,59.00,1.72,New Promotions
8,2024/12/01,Sun,Thailand,Spicy McFried Chickens Set,109.00,3.18,New Promotions
9,2024/12/01,Sun,Thailand,Chicken Cheeseburger A-la-carte,55.00,1.60,New Promotions
10,2024/12/01,Sun,Thailand,Chicken Cheeseburger Set,99.00,2.89,New Promotions
11,2024/12/01,Sun,Thailand,McFried Chicken Free fuze tea 16 oz.,45.00,1.31,New Promotions
12,2024/12/01,Sun,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.89,New Promotions
13,2024/12/01,Sun,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.89,New Promotions
14,2024/12/01,Sun,Thailand,Super Max Set,319.00,9.30,New Promotions
15,2024/12/01,Sun,Thailand,Banoffee Pie,45.00,1.31,New Promotions
16,2024/12/01,Sun,Thailand,Spicy Combo Set 1,109.00,3.18,New Promotions
17,2024/12/01,Sun,Thailand,Spicy Combo Set 2,209.00,6.10,New Promotions
18,2024/12/01,Sun,Thailand,Spicy McNuggets 6 pcs A-la-carte,79.00,2.30,New Promotions
19,2024/12/01,Sun,Thailand,Spicy McNuggets 6 pcs Set,144.00,4.20,New Promotions
20,2024/12/01,Sun,Thailand,Spicy McNuggets 10 pcs A-la-carte,129.00,3.76,New Promotions
21,2024/12/01,Sun,Thailand,Spicy McNuggets 10 pcs Set,184.00,5.37,New Promotions
