,Date,Day,Territory,Menu Item,Price (THB),Price (USD),Category
1,2024/12/30,Mon,Thailand,McChicken Duo,299.00,8.78,New Promotions
2,2024/12/30,Mon,Thailand,Buy 1 Get 1 Free! Iced Americano,105.00,3.08,New Promotions
3,2024/12/30,Mon,Thailand,McFlurry made with MILO,59.00,1.73,New Promotions
4,2024/12/30,Mon,Thailand,Chicken Cheeseburger A-la-carte,55.00,1.61,New Promotions
5,2024/12/30,Mon,Thailand,Chicken Cheeseburger Set,99.00,2.91,New Promotions
6,2024/12/30,Mon,Thailand,McFried Chicken Max Family Set Bite,419.00,12.30,New Promotions
7,2024/12/30,Mon,Thailand,McFried Chicken Max Family Set,319.00,9.36,New Promotions
8,2024/12/30,Mon,Thailand,Chocolate Cream Rainbow Frappe,99.00,2.91,New Promotions
9,2024/12/30,Mon,Thailand,Caramel Coffee Rainbow Frappe,99.00,2.91,New Promotions
10,2024/12/30,Mon,Thailand,Caramel Cream Rainbow Frappe,99.00,2.91,New Promotions
11,2024/12/30,Mon,Thailand,Green Tea Rainbow Frappe,99.00,2.91,New Promotions
12,2024/12/30,Mon,Thailand,Pepper Chicken Burger Set & McNugget,99.00,2.91,New Promotions
13,2024/12/30,Mon,Thailand,Pepper Chicken Burger Set & Corn Pie,99.00,2.91,New Promotions
14,2024/12/30,Mon,Thailand,McFied Chicken Lover,199.00,5.84,New Promotions
15,2024/12/30,Mon,Thailand,Banoffee Pie,45.00,1.32,New Promotions
16,2024/12/30,Mon,Thailand,Cheeseburger Set,109.00,3.20,New Promotions
17,2024/12/30,Mon,Thailand,99 Hamburger Set,99.00,2.91,New Promotions
18,2024/12/30,Mon,Thailand,99 Pork Burger Set,99.00,2.91,New Promotions
19,2024/12/30,Mon,Thailand,Im Kum Samurai Burger (Pork) Set,159.00,4.67,New Promotions
20,2024/12/30,Mon,Thailand,Im Kum Filet-O-Fish (Fish) Set,159.00,4.67,New Promotions
21,2024/12/30,Mon,Thailand,Im Kum McChicken (Chicken) Set,159.00,4.67,New Promotions
22,2024/12/30,Mon,Thailand,Buy 1 Free 1 Filet-o-fish & McNugget Set,233.00,6.84,New Promotions
23,2024/12/30,Mon,Thailand,4 Nuggets Free Corn Pie,69.00,2.03,New Promotions
24,2024/12/30,Mon,Thailand,BOGO Nuggets,109.00,3.20,New Promotions
25,2024/12/30,Mon,Thailand,50% McNugget Set,146.00,4.29,New Promotions
26,2024/12/30,Mon,Thailand,Buy 1 Get 1 McNuggets & French Fries,194.00,5.69,New Promotions
27,2024/12/30,Mon,Thailand,"Catering Set 1 : 5 Samurai Burger, 5 Filet O Fish, 20 McNuggets",999.00,29.32,New Promotions
28,2024/12/30,Mon,Thailand,"Catering Set 2 : 15 Pepper Chicken Burger, 15 Pork Burger, 60 McNuggets",1999.00,58.68,New Promotions
